상담ID,고객ID,상담일시,상담유형,상담시간(분),상담원ID,상담평가,재상담필요
CALL000073,CUST000622,2024-04-26 15:00:00,불만,28,CS15,1,False
CALL000074,CUST004492,2023-03-08 16:00:00,기술지원,28,CS18,4,True
CALL000075,CUST000229,2023-05-10 12:00:00,홍보,25,CS23,5,True
CALL000076,CUST003525,2024-08-31 16:00:00,기술지원,18,CS28,5,False
CALL000077,CUST003505,2024-08-09 16:00:00,요금조회,19,CS50,5,False
CALL000078,CUST000950,2024-10-07 08:00:00,요금조회,12,CS22,5,False
CALL000079,CUST004608,2024-07-13 16:00:00,신청,12,CS13,4,False
CALL000080,CUST002762,2023-01-03 14:00:00,불만,7,CS33,4,False
CALL000081,CUST004091,2024-04-17 16:00:00,요금조회,1,CS25,5,False
CALL000082,CUST002641,2023-05-29 09:00:00,불만,8,CS37,4,False
CALL000083,CUST003345,2023-10-06 09:00:00,기술지원,3,CS17,1,False
CALL000084,CUST002590,2024-03-29 12:00:00,요금조회,22,CS29,5,False
CALL000085,CUST002801,2024-02-28 16:00:00,기술지원,20,CS37,4,True
CALL000086,CUST004504,2023-04-18 11:00:00,불만,19,CS49,3,True
CALL000087,CUST003725,2023-12-01 17:00:00,기술지원,23,CS01,5,False
CALL000088,CUST004160,2023-07-09 14:00:00,기술지원,10,CS11,5,False
CALL000089,CUST000037,2024-10-03 14:00:00,홍보,22,CS23,5,False
CALL000090,CUST002935,2023-09-29 16:00:00,불만,7,CS19,3,False
CALL000091,CUST000936,2024-03-08 17:00:00,신청,20,CS50,5,False
CALL000092,CUST004481,2024-11-10 16:00:00,요금조회,25,CS35,4,False
CALL000093,CUST003437,2024-09-24 11:00:00,신청,14,CS24,1,False
CALL000094,CUST001135,2024-12-16 17:00:00,요금조회,8,CS48,5,True
CALL000095,CUST001679,2024-02-10 17:00:00,홍보,23,CS15,4,True
CALL000096,CUST002893,2024-07-16 15:00:00,요금조회,12,CS25,3,True
CALL000097,CUST003974,2023-11-16 16:00:00,기술지원,22,CS49,5,False
CALL000098,CUST000067,2024-01-26 17:00:00,요금조회,1,CS09,3,False
CALL000099,CUST000006,2023-11-16 09:00:00,홍보,20,CS27,3,True
CALL000100,CUST000644,2023-12-02 13:00:00,요금조회,10,CS36,5,False
CALL000101,CUST003391,2024-08-25 12:00:00,요금조회,8,CS37,5,False
CALL000102,CUST003300,2023-11-18 18:00:00,기술지원,9,CS03,2,True
CALL000103,CUST002690,2023-02-20 09:00:00,홍보,4,CS18,5,True
CALL000104,CUST002062,2023-05-08 17:00:00,요금조회,3,CS45,4,False
CALL000105,CUST003591,2023-05-19 17:00:00,신청,15,CS30,4,False
CALL000106,CUST003972,2024-11-26 10:00:00,기술지원,8,CS12,5,True
CALL000107,CUST004497,2023-03-01 18:00:00,홍보,17,CS13,3,False
CALL000108,CUST004523,2024-05-04 13:00:00,홍보,21,CS34,5,False
CALL000109,CUST004927,2023-09-10 14:00:00,신청,18,CS28,3,False
CALL000110,CUST000041,2024-12-12 08:00:00,기술지원,2,CS47,5,False
CALL000111,CUST003382,2023-12-26 09:00:00,신청,7,CS46,5,False
CALL000112,CUST000246,2023-03-14 15:00:00,신청,18,CS18,4,False
CALL000113,CUST003215,2023-03-22 14:00:00,홍보,27,CS05,3,False
CALL000114,CUST004718,2024-11-30 08:00:00,요금조회,21,CS42,4,False
CALL000115,CUST002533,2023-08-21 17:00:00,요금조회,5,CS01,5,False
CALL000116,CUST003511,2024-07-04 16:00:00,요금조회,6,CS01,3,False
CALL000117,CUST001040,2024-02-09 11:00:00,기술지원,8,CS39,3,True
CALL000118,CUST001170,2024-03-07 13:00:00,불만,18,CS22,5,False
CALL000119,CUST000230,2023-09-12 14:00:00,기술지원,20,CS15,4,False
CALL000120,CUST002916,2024-12-27 18:00:00,기술지원,7,CS33,4,False
CALL000121,CUST002858,2023-05-09 09:00:00,신청,15,CS22,3,False
CALL000122,CUST001804,2024-06-11 17:00:00,홍보,16,CS41,3,False
CALL000123,CUST000804,2023-09-24 13:00:00,홍보,27,CS21,4,True
CALL000124,CUST004571,2024-01-17 17:00:00,요금조회,27,CS31,5,False
CALL000125,CUST004914,2023-02-27 14:00:00,불만,28,CS48,5,True
CALL000126,CUST003684,2024-05-12 08:00:00,요금조회,6,CS18,5,False
CALL000127,CUST002540,2023-02-20 08:00:00,홍보,22,CS12,5,False
CALL000128,CUST004907,2024-08-31 18:00:00,불만,3,CS06,5,True
CALL000129,CUST003478,2024-10-28 17:00:00,홍보,1,CS26,3,False
CALL000130,CUST001317,2023-11-05 10:00:00,홍보,9,CS47,4,False
CALL000131,CUST003015,2023-11-02 16:00:00,요금조회,12,CS18,1,False
CALL000132,CUST001392,2024-08-17 12:00:00,불만,13,CS16,5,False
CALL000133,CUST001993,2023-07-03 08:00:00,신청,2,CS21,4,True
CALL000134,CUST003101,2023-10-28 14:00:00,기술지원,4,CS50,4,False
CALL000135,CUST001850,2024-01-20 18:00:00,불만,23,CS38,1,False
CALL000136,CUST004013,2023-10-08 16:00:00,기술지원,17,CS39,5,True
CALL000137,CUST002505,2024-09-20 14:00:00,신청,4,CS02,2,False
CALL000138,CUST000451,2024-03-17 15:00:00,홍보,26,CS03,4,False
CALL000139,CUST000169,2024-02-25 08:00:00,신청,24,CS38,4,False
CALL000140,CUST002887,2023-12-01 14:00:00,홍보,3,CS50,4,False
CALL000141,CUST003008,2023-09-26 10:00:00,기술지원,11,CS15,4,False
CALL000142,CUST004805,2023-01-15 12:00:00,신청,17,CS31,2,False
CALL000143,CUST000513,2023-11-19 14:00:00,신청,8,CS35,5,False
CALL000144,CUST004318,2024-01-08 15:00:00,요금조회,12,CS05,5,True
CALL000145,CUST004860,2024-03-29 13:00:00,홍보,29,CS17,3,False
CALL000146,CUST001562,2024-07-04 08:00:00,요금조회,10,CS44,5,False
CALL000147,CUST002856,2024-08-07 15:00:00,기술지원,27,CS28,4,False
CALL000148,CUST004662,2023-11-12 13:00:00,홍보,29,CS04,3,True
CALL000149,CUST003840,2023-08-15 11:00:00,기술지원,9,CS20,5,False
CALL000150,CUST001085,2024-06-02 17:00:00,불만,22,CS32,1,False
CALL000151,CUST002150,2023-01-30 14:00:00,기술지원,19,CS42,5,False
CALL000152,CUST003361,2023-05-14 11:00:00,불만,3,CS41,2,False
CALL000153,CUST002761,2024-01-14 12:00:00,신청,25,CS27,4,False
CALL000154,CUST000608,2024-02-19 14:00:00,기술지원,8,CS48,4,False
CALL000155,CUST001637,2023-05-14 18:00:00,홍보,22,CS07,4,False
CALL000156,CUST002402,2023-07-08 14:00:00,홍보,6,CS19,4,False
CALL000157,CUST000052,2023-12-11 12:00:00,기술지원,26,CS15,4,False
CALL000158,CUST002674,2023-02-25 09:00:00,신청,29,CS30,2,False
CALL000159,CUST000266,2024-02-11 18:00:00,요금조회,1,CS33,5,True
CALL000160,CUST000174,2023-12-09 17:00:00,홍보,13,CS34,4,False
CALL000161,CUST001801,2024-09-14 13:00:00,기술지원,1,CS17,4,False
CALL000162,CUST000671,2023-08-23 08:00:00,요금조회,28,CS18,4,False
CALL000163,CUST002679,2023-01-10 18:00:00,홍보,8,CS14,4,True
CALL000164,CUST000709,2024-03-11 10:00:00,요금조회,13,CS30,5,False
CALL000165,CUST004757,2023-07-11 09:00:00,기술지원,9,CS04,5,False
CALL000166,CUST002128,2023-06-29 10:00:00,요금조회,12,CS26,2,False
CALL000167,CUST002727,2023-10-29 10:00:00,홍보,6,CS47,3,False
CALL000168,CUST001119,2024-04-07 14:00:00,기술지원,18,CS25,4,False
CALL000169,CUST001546,2024-05-04 18:00:00,불만,19,CS06,4,False
CALL000170,CUST000687,2024-04-30 12:00:00,불만,25,CS35,5,False
CALL000171,CUST000898,2024-02-15 10:00:00,신청,23,CS49,4,False
CALL000172,CUST002910,2023-11-20 17:00:00,기술지원,22,CS29,3,False
CALL000173,CUST000051,2023-03-10 14:00:00,홍보,10,CS42,4,False
CALL000174,CUST004017,2023-01-29 09:00:00,홍보,22,CS23,4,False
CALL000175,CUST000567,2023-03-22 10:00:00,기술지원,16,CS27,4,False
CALL000176,CUST002349,2023-10-15 09:00:00,기술지원,15,CS17,2,False
CALL000177,CUST004594,2023-04-05 13:00:00,신청,28,CS27,3,True
CALL000178,CUST003777,2024-05-30 12:00:00,신청,26,CS30,5,False
CALL000179,CUST002348,2024-06-30 16:00:00,요금조회,4,CS09,3,False
CALL000180,CUST002441,2024-10-16 14:00:00,요금조회,14,CS44,4,True
CALL000181,CUST002850,2023-03-03 08:00:00,신청,5,CS25,4,False
CALL000182,CUST003085,2024-07-03 08:00:00,신청,5,CS49,5,False
CALL000183,CUST004038,2023-04-21 15:00:00,홍보,28,CS15,5,False
CALL000184,CUST003548,2024-08-25 16:00:00,기술지원,6,CS26,2,False
CALL000185,CUST002552,2024-02-10 15:00:00,요금조회,22,CS36,4,False
CALL000186,CUST001909,2024-12-29 15:00:00,홍보,24,CS05,4,False
CALL000187,CUST002107,2024-07-26 10:00:00,기술지원,20,CS24,5,False
CALL000188,CUST002202,2023-07-20 09:00:00,요금조회,12,CS43,5,False
CALL000189,CUST001283,2023-06-27 17:00:00,불만,2,CS20,5,False
CALL000190,CUST004746,2024-09-01 13:00:00,기술지원,22,CS45,3,False
CALL000191,CUST003306,2024-03-30 08:00:00,홍보,20,CS06,5,False
CALL000192,CUST003421,2023-10-07 15:00:00,신청,20,CS34,3,False
CALL000193,CUST000594,2023-05-19 14:00:00,요금조회,5,CS24,5,False
CALL000194,CUST003023,2023-09-27 10:00:00,신청,24,CS34,4,False
CALL000195,CUST003784,2024-10-15 14:00:00,불만,5,CS48,4,False
CALL000196,CUST003878,2023-03-19 10:00:00,신청,25,CS39,2,False
CALL000197,CUST003258,2023-04-24 10:00:00,홍보,10,CS37,5,False
CALL000198,CUST002842,2023-02-24 11:00:00,기술지원,19,CS03,5,False
CALL000199,CUST001168,2024-06-25 12:00:00,기술지원,5,CS04,5,False
CALL000200,CUST003789,2023-08-23 15:00:00,불만,18,CS10,5,False
CALL000201,CUST003560,2023-12-17 11:00:00,요금조회,18,CS29,3,False
CALL000202,CUST000991,2024-03-16 13:00:00,홍보,15,CS31,4,False
CALL000203,CUST004444,2024-12-14 17:00:00,불만,26,CS45,5,True
CALL000204,CUST002536,2024-01-31 16:00:00,홍보,29,CS11,3,False
CALL000205,CUST001220,2023-02-19 15:00:00,요금조회,8,CS37,3,False
CALL000206,CUST002522,2024-07-21 13:00:00,불만,10,CS08,5,False
CALL000207,CUST003511,2024-10-12 10:00:00,기술지원,28,CS01,1,True
CALL000208,CUST000408,2024-01-13 12:00:00,홍보,19,CS50,5,False
CALL000209,CUST001368,2024-06-10 10:00:00,불만,11,CS34,4,False
CALL000210,CUST002891,2023-11-14 10:00:00,요금조회,3,CS20,5,True
CALL000211,CUST001976,2023-05-07 18:00:00,홍보,14,CS22,5,False
CALL000212,CUST004571,2024-07-24 11:00:00,기술지원,6,CS03,5,False
CALL000213,CUST001173,2024-05-30 13:00:00,홍보,19,CS45,5,False
CALL000214,CUST000811,2023-09-17 13:00:00,요금조회,24,CS30,5,False
CALL000215,CUST003476,2023-10-02 08:00:00,불만,27,CS42,1,False
CALL000216,CUST001787,2023-02-02 18:00:00,불만,15,CS36,5,True
CALL000217,CUST002919,2024-03-15 12:00:00,신청,29,CS25,5,False
CALL000218,CUST003534,2023-11-09 18:00:00,기술지원,7,CS02,5,True
CALL000219,CUST000363,2024-01-12 12:00:00,신청,11,CS19,4,False
CALL000220,CUST000834,2024-10-29 15:00:00,불만,15,CS16,5,False
CALL000221,CUST002210,2023-12-13 10:00:00,불만,1,CS24,5,False
CALL000222,CUST000377,2023-07-21 09:00:00,홍보,6,CS27,2,False
CALL000223,CUST000713,2023-04-25 10:00:00,불만,6,CS49,3,False
CALL000224,CUST002342,2023-07-18 10:00:00,불만,11,CS28,4,False
CALL000225,CUST002375,2024-12-31 15:00:00,홍보,20,CS03,4,True
CALL000226,CUST000556,2023-10-20 16:00:00,기술지원,14,CS22,4,True
CALL000227,CUST001850,2024-09-21 15:00:00,요금조회,19,CS03,4,False
CALL000228,CUST001819,2024-11-29 17:00:00,신청,8,CS15,4,False
CALL000229,CUST003545,2023-03-28 15:00:00,기술지원,17,CS46,2,False
CALL000230,CUST002804,2024-03-24 14:00:00,홍보,20,CS16,3,False
CALL000231,CUST003090,2023-07-31 11:00:00,신청,19,CS29,2,False
CALL000232,CUST001837,2024-11-11 12:00:00,신청,15,CS18,1,True
CALL000233,CUST002154,2024-10-22 18:00:00,홍보,27,CS28,5,False
CALL000234,CUST002338,2024-11-25 10:00:00,요금조회,10,CS38,2,False
CALL000235,CUST001585,2024-05-16 10:00:00,불만,5,CS33,1,False
CALL000236,CUST004821,2023-02-01 11:00:00,신청,4,CS16,3,False
CALL000237,CUST001843,2024-07-22 16:00:00,요금조회,20,CS14,2,False
CALL000238,CUST001733,2024-01-24 18:00:00,신청,12,CS02,5,False
CALL000239,CUST000144,2023-06-23 09:00:00,기술지원,7,CS26,3,False
CALL000240,CUST004469,2024-05-01 13:00:00,신청,19,CS31,1,False
CALL000241,CUST004798,2023-01-13 18:00:00,불만,17,CS42,5,False
CALL000242,CUST001810,2024-07-09 08:00:00,불만,26,CS29,5,False
CALL000243,CUST000865,2023-03-10 17:00:00,요금조회,1,CS43,5,True
CALL000244,CUST003471,2024-02-01 11:00:00,홍보,27,CS14,3,False
CALL000245,CUST002143,2023-02-12 12:00:00,기술지원,5,CS02,4,False
CALL000246,CUST004563,2023-12-03 18:00:00,신청,19,CS26,5,False
CALL000247,CUST004901,2023-07-19 08:00:00,신청,13,CS31,5,False
CALL000248,CUST004023,2024-01-31 17:00:00,요금조회,5,CS45,4,False
CALL000249,CUST000771,2023-08-24 13:00:00,기술지원,5,CS08,4,False
CALL000250,CUST000541,2024-07-12 16:00:00,기술지원,16,CS36,5,True
CALL000251,CUST004006,2023-05-29 12:00:00,요금조회,23,CS09,5,False
CALL000252,CUST001655,2024-10-01 11:00:00,기술지원,18,CS12,5,False
CALL000253,CUST000986,2023-12-05 11:00:00,홍보,21,CS48,5,False
CALL000254,CUST000196,2023-11-09 08:00:00,기술지원,15,CS12,5,False
CALL000255,CUST000341,2023-02-06 18:00:00,신청,16,CS27,4,False
CALL000256,CUST000450,2023-04-17 16:00:00,요금조회,18,CS27,5,False
CALL000257,CUST002613,2023-03-12 14:00:00,신청,21,CS31,5,False
CALL000258,CUST004452,2024-03-27 15:00:00,기술지원,17,CS37,5,False
CALL000259,CUST002224,2024-06-01 12:00:00,요금조회,15,CS42,3,False
CALL000260,CUST000956,2024-06-10 09:00:00,기술지원,26,CS18,5,False
CALL000261,CUST003118,2024-03-11 13:00:00,신청,2,CS50,4,False
CALL000262,CUST004177,2023-06-26 12:00:00,기술지원,17,CS06,5,False
CALL000263,CUST002264,2023-09-18 12:00:00,기술지원,13,CS40,5,False
CALL000264,CUST002093,2024-11-17 13:00:00,신청,19,CS02,3,False
CALL000265,CUST003206,2023-09-25 12:00:00,홍보,23,CS50,2,True
CALL000266,CUST004458,2024-03-13 08:00:00,요금조회,21,CS33,4,False
CALL000267,CUST003594,2024-06-28 11:00:00,기술지원,17,CS29,4,False
CALL000268,CUST002685,2024-07-01 13:00:00,불만,17,CS33,5,False
CALL000269,CUST000787,2024-12-05 09:00:00,신청,14,CS42,2,False
CALL000270,CUST000087,2024-05-01 17:00:00,불만,11,CS33,5,False
CALL000271,CUST001043,2024-09-26 11:00:00,기술지원,11,CS28,5,False
CALL000272,CUST001630,2024-04-06 16:00:00,기술지원,27,CS22,4,False
CALL000273,CUST004464,2023-04-20 08:00:00,기술지원,25,CS14,1,False
CALL000274,CUST002325,2024-10-19 18:00:00,요금조회,25,CS33,4,False
CALL000275,CUST001733,2024-10-28 18:00:00,신청,29,CS49,2,False
CALL000276,CUST001571,2023-11-25 11:00:00,신청,13,CS22,4,False
CALL000277,CUST004003,2024-10-21 17:00:00,기술지원,7,CS44,1,False
CALL000278,CUST000721,2023-05-07 10:00:00,불만,24,CS39,2,False
CALL000279,CUST004840,2024-07-03 15:00:00,신청,1,CS03,4,False
CALL000280,CUST001006,2024-05-29 16:00:00,홍보,25,CS25,3,False
CALL000281,CUST002601,2024-11-07 12:00:00,홍보,16,CS31,5,False
CALL000282,CUST004131,2024-07-05 14:00:00,불만,19,CS49,3,False
CALL000283,CUST001730,2024-09-29 17:00:00,기술지원,13,CS14,4,False
CALL000284,CUST001120,2024-08-16 14:00:00,불만,28,CS37,2,True
CALL000285,CUST000564,2024-08-23 16:00:00,홍보,13,CS27,5,False
CALL000286,CUST004799,2024-06-10 10:00:00,요금조회,7,CS14,4,False
CALL000287,CUST000054,2024-12-08 17:00:00,요금조회,15,CS20,5,False
CALL000288,CUST004835,2023-03-04 12:00:00,불만,7,CS44,1,False
CALL000289,CUST000081,2023-11-19 15:00:00,홍보,6,CS11,5,False
CALL000290,CUST003028,2024-08-15 10:00:00,기술지원,1,CS45,4,False
CALL000291,CUST003863,2024-05-05 09:00:00,요금조회,10,CS33,5,False
CALL000292,CUST002884,2023-10-08 15:00:00,홍보,25,CS45,5,False
CALL000293,CUST000437,2024-11-28 10:00:00,홍보,13,CS40,4,False
CALL000294,CUST001246,2023-09-17 14:00:00,기술지원,29,CS33,3,False
CALL000295,CUST000972,2023-08-27 08:00:00,불만,25,CS49,5,False
CALL000296,CUST003552,2023-04-02 17:00:00,기술지원,11,CS31,4,False
CALL000297,CUST004008,2024-07-07 14:00:00,불만,28,CS26,3,False
CALL000298,CUST001299,2024-12-28 12:00:00,요금조회,3,CS02,4,False
CALL000299,CUST004576,2023-06-29 12:00:00,기술지원,15,CS48,5,False
CALL000300,CUST003719,2023-05-16 11:00:00,신청,10,CS21,3,False
CALL000301,CUST001735,2024-07-24 18:00:00,홍보,14,CS41,4,False
CALL000302,CUST002467,2023-08-20 17:00:00,요금조회,1,CS21,5,False
CALL000303,CUST001968,2024-04-05 10:00:00,요금조회,14,CS02,4,True
CALL000304,CUST004417,2024-06-17 11:00:00,홍보,11,CS43,3,False
CALL000305,CUST004587,2023-09-01 17:00:00,홍보,19,CS41,4,False
CALL000306,CUST003976,2023-04-16 10:00:00,신청,20,CS20,5,False
CALL000307,CUST004080,2023-04-26 18:00:00,불만,10,CS37,5,False
CALL000308,CUST000490,2024-11-06 16:00:00,신청,13,CS09,4,False
CALL000309,CUST004766,2024-05-26 08:00:00,신청,12,CS09,4,False
CALL000310,CUST001771,2024-02-06 10:00:00,요금조회,9,CS08,4,False
CALL000311,CUST001090,2024-08-03 11:00:00,홍보,6,CS45,3,False
CALL000312,CUST000939,2023-06-26 16:00:00,요금조회,14,CS30,1,False
CALL000313,CUST000968,2024-06-11 08:00:00,홍보,8,CS04,4,False
CALL000314,CUST000449,2024-12-29 17:00:00,신청,17,CS17,4,False
CALL000315,CUST003154,2024-07-24 11:00:00,신청,16,CS42,5,False
CALL000316,CUST004845,2023-06-21 10:00:00,신청,28,CS36,5,False
CALL000317,CUST004978,2023-05-05 08:00:00,기술지원,23,CS28,5,False
CALL000318,CUST004357,2023-04-30 08:00:00,요금조회,17,CS49,4,False
CALL000319,CUST002330,2023-07-09 11:00:00,홍보,1,CS45,4,False
CALL000320,CUST003971,2023-06-29 08:00:00,홍보,13,CS49,3,False
CALL000321,CUST004536,2023-01-17 09:00:00,불만,12,CS05,1,False
CALL000322,CUST001745,2024-12-09 16:00:00,요금조회,6,CS35,3,False
CALL000323,CUST000715,2024-01-31 15:00:00,신청,29,CS26,5,False
CALL000324,CUST002268,2024-03-20 14:00:00,불만,26,CS44,3,False
CALL000325,CUST001205,2023-04-28 08:00:00,홍보,16,CS47,5,False
CALL000326,CUST001574,2023-01-31 16:00:00,신청,4,CS29,4,False
CALL000327,CUST003588,2024-10-08 17:00:00,신청,11,CS02,5,False
CALL000328,CUST003817,2024-11-18 16:00:00,신청,7,CS27,5,False
CALL000329,CUST003688,2024-11-23 15:00:00,기술지원,28,CS26,4,False
CALL000330,CUST002584,2024-01-31 09:00:00,신청,1,CS14,5,False
CALL000331,CUST000753,2023-01-12 16:00:00,홍보,29,CS12,3,False
CALL000332,CUST001231,2023-03-27 12:00:00,신청,7,CS04,5,True
CALL000333,CUST003350,2023-07-13 13:00:00,신청,13,CS49,5,False
CALL000334,CUST001799,2024-01-28 09:00:00,요금조회,11,CS05,5,False
CALL000335,CUST001162,2023-10-23 08:00:00,불만,28,CS26,4,False
CALL000336,CUST004667,2023-08-29 16:00:00,신청,9,CS49,5,False
CALL000337,CUST002397,2023-10-24 13:00:00,기술지원,17,CS11,2,False
CALL000338,CUST000156,2024-10-27 11:00:00,요금조회,3,CS37,3,False
CALL000339,CUST001300,2024-10-18 09:00:00,불만,9,CS44,4,False
CALL000340,CUST000120,2024-08-26 16:00:00,홍보,18,CS01,2,False
CALL000341,CUST003516,2023-02-18 15:00:00,불만,13,CS31,3,False
CALL000342,CUST004733,2023-10-10 14:00:00,불만,19,CS13,1,False
CALL000343,CUST004167,2024-07-17 18:00:00,요금조회,3,CS38,2,False
CALL000344,CUST001009,2023-05-22 11:00:00,홍보,25,CS38,4,False
CALL000345,CUST001842,2023-11-19 12:00:00,요금조회,15,CS12,5,False
CALL000346,CUST003571,2024-02-23 17:00:00,요금조회,13,CS50,5,False
CALL000347,CUST004001,2023-11-20 18:00:00,기술지원,21,CS33,4,False
CALL000348,CUST003766,2023-04-11 08:00:00,신청,29,CS40,1,True
CALL000349,CUST001577,2023-01-04 11:00:00,요금조회,27,CS06,5,False
CALL000350,CUST002206,2023-01-18 15:00:00,불만,18,CS44,4,False
CALL000351,CUST004733,2024-02-18 10:00:00,홍보,27,CS37,4,False
CALL000352,CUST000578,2023-01-04 13:00:00,신청,18,CS35,1,False
CALL000353,CUST001903,2023-10-13 13:00:00,요금조회,20,CS11,5,False
CALL000354,CUST001737,2024-08-25 14:00:00,기술지원,11,CS32,5,False
CALL000355,CUST000698,2024-03-24 09:00:00,신청,5,CS08,5,True
CALL000356,CUST003426,2023-12-06 08:00:00,신청,25,CS36,5,False
