고객ID,년월,사용량(㎥),요금(원),납부상태
CUST000006,2024-05,140.91,133609,납부
CUST000006,2024-06,155.77,160351,납부
CUST000006,2024-07,189.96,181512,납부
CUST000006,2024-08,78.77,74999,납부
CUST000006,2024-09,98.78,115245,납부
CUST000006,2024-10,117.68,112148,납부
CUST000006,2024-11,122.24,110280,면제
CUST000006,2024-12,148.84,163377,납부
CUST000007,2024-01,14.5,14547,납부
CUST000007,2024-02,28.04,32658,납부
CUST000007,2024-03,22.74,27012,연체
CUST000007,2024-04,29.3,33007,연체
CUST000007,2024-05,35.05,38804,연체
CUST000007,2024-06,25.8,29383,납부
CUST000007,2024-07,23.33,23298,납부
CUST000007,2024-08,37.7,44509,납부
CUST000007,2024-09,8.28,9835,납부
CUST000007,2024-10,34.12,38680,연체
CUST000007,2024-11,11.93,13417,연체
CUST000007,2024-12,20.45,23038,납부
CUST000008,2024-01,184.61,198067,납부
CUST000008,2024-02,253.14,242137,납부
CUST000008,2024-03,253.53,241259,납부
CUST000008,2024-04,213.09,245019,납부
CUST000008,2024-05,170.87,192380,납부
CUST000008,2024-06,133.43,143350,납부
CUST000008,2024-07,172.38,178019,납부
CUST000008,2024-08,235.79,254371,납부
CUST000008,2024-09,178.67,162238,납부
CUST000008,2024-10,76.73,84841,납부
CUST000008,2024-11,224.63,202709,납부
CUST000008,2024-12,246.15,228452,납부
CUST000009,2024-01,30.14,33300,납부
CUST000009,2024-02,32.21,33216,연체
CUST000009,2024-03,25.29,26143,납부
CUST000009,2024-04,23.32,23621,연체
CUST000009,2024-05,27.81,30941,납부
CUST000009,2024-06,23.12,25358,납부
CUST000009,2024-07,30.82,35096,납부
CUST000009,2024-08,36.77,39635,납부
CUST000009,2024-09,15.47,18232,납부
CUST000009,2024-10,51.86,50872,납부
CUST000009,2024-11,25.24,29213,납부
CUST000009,2024-12,26.71,30940,납부
CUST000010,2024-01,557.66,515812,연체
CUST000010,2024-02,236.76,241798,납부
CUST000010,2024-03,444.01,433143,납부
CUST000010,2024-04,219.24,249933,납부
CUST000010,2024-05,454.9,528664,납부
CUST000010,2024-06,215.01,250857,납부
CUST000010,2024-07,621.61,662562,연체
CUST000010,2024-08,763.01,709960,납부
CUST000010,2024-09,703.35,678685,납부
CUST000010,2024-10,524.99,535431,납부
CUST000010,2024-11,454.56,479303,납부
CUST000010,2024-12,528.77,532428,납부
CUST000011,2024-01,182.46,187704,납부
CUST000011,2024-02,686.89,712140,면제
CUST000011,2024-03,489.01,444475,연체
CUST000011,2024-04,510.86,540502,납부
CUST000011,2024-05,395.94,413589,면제
CUST000011,2024-06,657.63,724478,납부
CUST000011,2024-07,454.09,513131,납부
CUST000011,2024-08,443.07,401602,연체
CUST000011,2024-09,384.84,395077,연체
CUST000011,2024-10,385.75,448922,납부
CUST000011,2024-11,697.06,678260,납부
CUST000011,2024-12,180.82,213691,납부
CUST000012,2024-01,192.27,201403,납부
CUST000012,2024-02,115.38,108967,납부
CUST000012,2024-03,135.44,139084,납부
CUST000012,2024-04,243.68,284268,납부
CUST000012,2024-05,198.04,222604,납부
CUST000012,2024-06,133.18,136829,납부
CUST000012,2024-07,198.85,196754,납부
CUST000012,2024-08,168.54,182135,납부
CUST000012,2024-09,195.33,178169,연체
CUST000012,2024-10,43.99,52769,납부
CUST000012,2024-11,275.28,317782,납부
CUST000012,2024-12,275.09,284694,납부
CUST000013,2024-01,31.2,32531,납부
CUST000013,2024-02,47.73,50937,납부
CUST000013,2024-03,43.46,47492,납부
CUST000013,2024-04,36.93,40789,납부
CUST000013,2024-05,48.55,57848,납부
CUST000013,2024-06,42.27,43038,납부
CUST000013,2024-07,35.59,39370,납부
CUST000013,2024-08,17.16,19955,납부
CUST000013,2024-09,35.1,40661,납부
CUST000013,2024-10,27.23,24720,납부
CUST000013,2024-11,11.54,13464,납부
CUST000013,2024-12,38.52,38314,연체
CUST000014,2024-01,211.85,223226,납부
CUST000014,2024-02,212.05,202259,납부
CUST000014,2024-03,197.18,179814,납부
CUST000014,2024-04,287.26,273060,납부
CUST000014,2024-05,141.57,132898,연체
CUST000014,2024-06,155.51,173172,납부
CUST000014,2024-07,5.0,4665,납부
CUST000014,2024-08,195.12,190058,면제
CUST000014,2024-09,176.57,166931,납부
CUST000014,2024-10,279.86,262121,납부
CUST000014,2024-11,216.92,246443,납부
CUST000014,2024-12,114.22,105696,납부
CUST000015,2024-01,22.72,21949,연체
CUST000015,2024-02,36.49,43283,면제
CUST000015,2024-03,25.34,24417,납부
CUST000015,2024-04,34.6,34440,면제
CUST000015,2024-05,36.17,34567,연체
CUST000015,2024-06,37.96,43588,납부
CUST000015,2024-07,26.5,24494,납부
CUST000015,2024-08,35.7,39135,납부
CUST000015,2024-09,40.46,38998,납부
CUST000015,2024-10,38.11,37466,납부
CUST000015,2024-11,23.79,25508,납부
CUST000015,2024-12,24.63,28230,납부
CUST000016,2024-01,135.79,141834,납부
CUST000016,2024-02,148.97,177764,납부
CUST000016,2024-03,110.79,119406,납부
CUST000016,2024-04,149.06,142685,납부
CUST000016,2024-05,175.53,200258,연체
CUST000016,2024-06,179.9,212517,납부
CUST000016,2024-07,212.87,236098,면제
CUST000016,2024-08,164.87,149063,납부
CUST000016,2024-09,106.27,102740,납부
CUST000016,2024-10,109.72,101534,납부
CUST000016,2024-11,101.75,99292,납부
CUST000016,2024-12,187.45,211568,연체
CUST000017,2024-01,625.62,714803,연체
CUST000017,2024-02,525.02,474347,면제
CUST000017,2024-03,714.03,669871,납부
CUST000017,2024-04,481.0,472073,납부
CUST000017,2024-05,532.76,480961,납부
CUST000017,2024-06,459.64,437721,납부
CUST000017,2024-07,371.65,388928,납부
CUST000017,2024-08,369.12,345639,납부
CUST000017,2024-09,732.92,712742,납부
CUST000017,2024-10,258.0,237936,납부
CUST000017,2024-11,143.03,134598,납부
CUST000017,2024-12,389.86,467007,납부
CUST000018,2024-01,223.75,257187,납부
CUST000018,2024-02,206.39,231413,납부
CUST000018,2024-03,91.81,87072,납부
CUST000018,2024-04,205.93,193428,납부
CUST000018,2024-05,303.93,286884,납부
CUST000018,2024-06,53.97,58020,면제
CUST000018,2024-07,183.15,212605,납부
CUST000018,2024-08,168.25,195631,납부
CUST000018,2024-09,99.67,98586,납부
CUST000018,2024-10,151.64,176728,납부
CUST000018,2024-11,263.91,257872,납부
CUST000018,2024-12,236.31,245290,납부
CUST000019,2024-01,196.48,228839,납부
CUST000019,2024-02,88.07,81026,납부
CUST000019,2024-03,208.94,247661,납부
CUST000019,2024-04,97.29,101164,납부
CUST000019,2024-05,137.56,161728,납부
CUST000019,2024-06,129.99,117514,납부
CUST000019,2024-07,199.2,229469,납부
CUST000019,2024-08,184.02,217019,납부
CUST000019,2024-09,186.11,174349,면제
CUST000019,2024-10,223.36,209254,납부
CUST000019,2024-11,170.12,195886,납부
CUST000019,2024-12,203.21,205875,연체
CUST000020,2024-01,175.35,165138,납부
CUST000020,2024-02,130.43,152141,납부
CUST000020,2024-03,184.52,206839,연체
CUST000020,2024-04,177.94,183997,납부
CUST000020,2024-05,158.22,151174,납부
CUST000020,2024-06,99.4,90535,납부
CUST000020,2024-07,71.17,83147,납부
CUST000020,2024-08,200.8,239772,납부
CUST000020,2024-09,175.0,197581,납부
CUST000020,2024-10,105.8,122571,납부
CUST000020,2024-11,128.01,123308,납부
CUST000020,2024-12,138.04,162233,납부
CUST000021,2024-01,266.33,311500,면제
CUST000021,2024-02,51.4,57876,면제
CUST000021,2024-03,172.58,176130,납부
CUST000021,2024-04,213.52,214638,납부
CUST000021,2024-05,242.1,220433,납부
CUST000021,2024-06,207.52,231759,면제
CUST000021,2024-07,113.44,120653,납부
CUST000021,2024-08,205.97,240721,납부
CUST000021,2024-09,224.87,224792,납부
CUST000021,2024-10,123.97,119023,납부
CUST000021,2024-11,170.99,168497,면제
CUST000021,2024-12,241.17,244478,납부
CUST000022,2024-01,161.96,150760,납부
CUST000022,2024-02,178.4,192313,납부
CUST000022,2024-03,256.51,263517,연체
CUST000022,2024-04,178.34,187145,납부
CUST000022,2024-05,189.47,175605,납부
CUST000022,2024-06,206.18,215681,납부
CUST000022,2024-07,188.02,202859,납부
CUST000022,2024-08,244.67,292256,납부
CUST000022,2024-09,187.41,212098,납부
CUST000022,2024-10,221.11,212844,연체
CUST000022,2024-11,218.52,214759,납부
CUST000022,2024-12,179.66,173379,납부
CUST000023,2024-01,208.88,188974,납부
CUST000023,2024-02,93.17,86640,납부
CUST000023,2024-03,151.47,147448,납부
CUST000023,2024-04,151.19,170925,납부
CUST000023,2024-05,179.63,168940,납부
CUST000023,2024-06,37.52,35491,납부
CUST000023,2024-07,123.37,118126,연체
CUST000023,2024-08,139.77,126602,납부
CUST000023,2024-09,220.08,236943,납부
CUST000023,2024-10,103.08,118970,납부
CUST000023,2024-11,134.12,160331,납부
CUST000023,2024-12,204.49,243295,납부
CUST000024,2024-01,44.62,51936,면제
CUST000024,2024-02,28.49,28420,납부
CUST000024,2024-03,32.05,30572,납부
CUST000024,2024-04,17.0,20048,납부
CUST000024,2024-05,40.99,38373,납부
CUST000024,2024-06,45.65,48794,납부
CUST000024,2024-07,24.58,25476,납부
CUST000024,2024-08,25.06,24673,납부
CUST000024,2024-09,35.28,35893,납부
CUST000024,2024-10,30.48,36288,납부
CUST000024,2024-11,34.39,41003,납부
CUST000024,2024-12,45.34,52977,납부
CUST000025,2024-01,109.29,108309,납부
CUST000025,2024-02,195.67,193520,납부
CUST000025,2024-03,182.58,170371,납부
CUST000025,2024-04,124.24,134282,납부
CUST000025,2024-05,70.27,70064,납부
CUST000025,2024-06,165.41,152010,면제
CUST000025,2024-07,152.69,154429,납부
CUST000025,2024-08,142.24,143213,납부
CUST000025,2024-09,191.37,178780,납부
CUST000025,2024-10,199.77,196577,납부
CUST000025,2024-11,81.47,84738,납부
CUST000025,2024-12,62.17,61713,납부
CUST000026,2024-01,210.07,224850,납부
CUST000026,2024-02,176.31,195977,납부
CUST000026,2024-03,268.45,292851,납부
CUST000026,2024-04,14.11,13923,납부
CUST000026,2024-05,224.7,261074,납부
CUST000026,2024-06,139.15,132309,납부
CUST000026,2024-07,261.37,236438,납부
CUST000026,2024-08,218.17,202416,납부
CUST000026,2024-09,199.61,207954,납부
CUST000026,2024-10,153.55,178295,납부
CUST000026,2024-11,272.73,247945,납부
CUST000026,2024-12,160.86,184175,연체
CUST000027,2024-01,133.45,143581,납부
CUST000027,2024-02,184.48,180302,납부
CUST000027,2024-03,184.12,184881,납부
CUST000027,2024-04,133.19,137192,납부
CUST000027,2024-05,97.54,89576,납부
CUST000027,2024-06,233.56,267191,납부
CUST000027,2024-07,185.23,198101,납부
CUST000027,2024-08,191.58,223478,납부
CUST000027,2024-09,172.38,188375,납부
CUST000027,2024-10,172.28,199743,연체
CUST000027,2024-11,137.17,128351,납부
CUST000027,2024-12,193.09,182845,납부
CUST000028,2024-01,47.12,56348,납부
CUST000028,2024-02,29.02,30634,납부
CUST000028,2024-03,41.55,37508,납부
CUST000028,2024-04,55.68,51746,납부
CUST000028,2024-05,21.5,25120,연체
CUST000028,2024-06,35.9,42824,연체
CUST000028,2024-07,30.68,29229,납부
CUST000028,2024-08,14.08,16423,연체
CUST000028,2024-09,43.8,40704,납부
CUST000028,2024-10,26.44,29776,납부
CUST000028,2024-11,29.41,33768,납부
CUST000028,2024-12,40.47,47539,납부
CUST000029,2024-01,480.28,551596,납부
CUST000029,2024-02,379.43,435883,납부
CUST000029,2024-03,500.22,513579,납부
CUST000029,2024-04,209.33,210890,납부
CUST000029,2024-05,415.92,435342,납부
CUST000029,2024-06,420.44,450160,연체
CUST000029,2024-07,712.36,783799,납부
CUST000029,2024-08,653.15,722904,납부
CUST000029,2024-09,556.55,541844,납부
CUST000029,2024-10,573.25,518103,납부
CUST000029,2024-11,606.85,546981,납부
CUST000029,2024-12,587.17,652613,납부
CUST000030,2024-01,400.93,382646,납부
CUST000030,2024-02,535.68,587145,납부
CUST000030,2024-03,421.35,409390,납부
CUST000030,2024-04,416.24,423956,납부
CUST000030,2024-05,720.94,804406,납부
CUST000030,2024-06,450.39,411951,연체
CUST000030,2024-07,507.96,545906,면제
CUST000030,2024-08,470.38,548495,납부
CUST000030,2024-09,282.95,267595,납부
CUST000030,2024-10,362.8,340918,납부
CUST000030,2024-11,381.77,453721,납부
CUST000030,2024-12,341.31,408301,납부
CUST000031,2024-01,61.69,58902,납부
CUST000031,2024-02,128.67,152281,면제
CUST000031,2024-03,92.17,93016,납부
CUST000031,2024-04,135.9,140923,납부
CUST000031,2024-05,117.64,120989,면제
CUST000031,2024-06,138.19,138002,연체
CUST000031,2024-07,177.85,205768,납부
CUST000031,2024-08,200.62,208419,면제
CUST000031,2024-09,168.65,187528,납부
CUST000031,2024-10,163.91,173244,연체
CUST000031,2024-11,165.36,182205,납부
CUST000031,2024-12,164.51,149821,연체
CUST000032,2024-01,14.98,14149,납부
CUST000032,2024-02,36.41,41906,납부
CUST000032,2024-03,18.23,18070,납부
CUST000032,2024-04,42.75,49160,납부
CUST000032,2024-05,30.65,32427,연체
CUST000032,2024-06,50.83,46231,납부
CUST000032,2024-07,23.79,27043,납부
CUST000032,2024-08,29.0,26355,납부
CUST000032,2024-09,41.04,42326,납부
CUST000032,2024-10,34.06,38831,납부
CUST000032,2024-11,34.93,38017,납부
CUST000032,2024-12,18.0,19558,면제
CUST000033,2024-01,799.06,742992,납부
CUST000033,2024-02,566.68,640807,납부
CUST000033,2024-03,508.48,471096,면제
CUST000033,2024-04,416.33,486772,납부
CUST000033,2024-05,699.51,722334,납부
CUST000033,2024-06,366.89,367656,납부
CUST000033,2024-07,333.54,383354,납부
CUST000033,2024-08,464.51,473822,연체
CUST000033,2024-09,965.51,1146009,연체
CUST000033,2024-10,464.49,441652,납부
CUST000033,2024-11,487.92,493516,납부
CUST000033,2024-12,544.61,508828,납부
CUST000034,2024-01,116.96,106674,면제
CUST000034,2024-02,185.2,185591,납부
CUST000034,2024-03,157.98,152368,연체
CUST000034,2024-04,188.08,225318,납부
CUST000034,2024-05,136.26,144054,연체
CUST000034,2024-06,195.47,233003,납부
CUST000034,2024-07,137.51,140748,납부
CUST000034,2024-08,151.59,154857,납부
CUST000034,2024-09,129.58,129389,연체
CUST000034,2024-10,173.58,195081,납부
CUST000034,2024-11,158.31,161039,납부
CUST000034,2024-12,133.5,137981,납부
CUST000035,2024-01,222.83,260856,납부
CUST000035,2024-02,135.7,143470,납부
CUST000035,2024-03,195.5,197155,연체
CUST000035,2024-04,146.27,159314,연체
CUST000035,2024-05,132.09,128041,납부
CUST000035,2024-06,161.61,153700,납부
CUST000035,2024-07,176.88,182212,납부
CUST000035,2024-08,148.31,175391,연체
CUST000035,2024-09,149.1,149743,납부
CUST000035,2024-10,83.87,84558,납부
CUST000035,2024-11,209.72,250558,납부
CUST000035,2024-12,29.37,30735,납부
CUST000036,2024-01,33.06,32128,연체
CUST000036,2024-02,20.43,20395,납부
CUST000036,2024-03,18.97,18696,납부
CUST000036,2024-04,33.42,33626,납부
CUST000036,2024-05,41.96,46000,납부
CUST000036,2024-06,47.88,44906,납부
CUST000036,2024-07,25.92,26493,납부
CUST000036,2024-08,35.89,38044,납부
CUST000036,2024-09,29.53,33912,납부
CUST000036,2024-10,23.53,22233,면제
CUST000036,2024-11,32.35,33113,납부
CUST000036,2024-12,33.38,39467,납부
CUST000037,2024-01,175.05,175154,면제
CUST000037,2024-02,255.67,270130,납부
CUST000037,2024-03,194.14,177202,납부
CUST000037,2024-04,109.07,111870,납부
CUST000037,2024-05,221.05,204895,납부
CUST000037,2024-06,126.14,151166,납부
CUST000037,2024-07,153.42,176515,연체
CUST000037,2024-08,370.03,442842,납부
CUST000037,2024-09,178.79,175489,납부
CUST000037,2024-10,187.28,216476,납부
CUST000037,2024-11,214.68,238858,납부
CUST000037,2024-12,337.78,389256,납부
CUST000038,2024-01,165.36,192733,납부
CUST000038,2024-02,234.52,237887,납부
CUST000038,2024-03,195.02,195784,납부
CUST000038,2024-04,149.16,174015,납부
CUST000038,2024-05,56.45,55487,납부
CUST000038,2024-06,159.02,148835,연체
CUST000038,2024-07,121.47,134615,납부
CUST000038,2024-08,175.76,167911,납부
CUST000038,2024-09,224.37,244927,납부
CUST000038,2024-10,116.03,131172,납부
CUST000038,2024-11,207.51,207571,연체
CUST000038,2024-12,173.62,188285,납부
CUST000039,2024-01,111.32,118298,납부
CUST000039,2024-02,214.58,238019,납부
CUST000039,2024-03,229.38,253546,납부
CUST000039,2024-04,255.45,305334,납부
CUST000039,2024-05,161.56,171366,납부
CUST000039,2024-06,265.43,281766,납부
CUST000039,2024-07,321.35,326831,납부
CUST000039,2024-08,243.28,282856,납부
CUST000039,2024-09,167.86,152921,납부
CUST000039,2024-10,228.48,258070,납부
CUST000039,2024-11,204.29,185227,납부
CUST000039,2024-12,264.72,246998,납부
CUST000040,2024-01,171.72,193766,면제
CUST000040,2024-02,139.27,140863,납부
CUST000040,2024-03,231.34,253835,납부
CUST000040,2024-04,168.46,166897,납부
CUST000040,2024-05,125.08,136736,면제
CUST000040,2024-06,170.41,153985,납부
CUST000040,2024-07,249.09,261997,납부
CUST000040,2024-08,208.73,217393,납부
CUST000040,2024-09,192.43,176219,납부
CUST000040,2024-10,163.18,161907,납부
CUST000040,2024-11,268.65,249496,납부
CUST000040,2024-12,105.3,102705,연체
CUST000041,2024-01,537.75,567917,연체
CUST000041,2024-02,666.68,786500,면제
CUST000041,2024-03,568.93,515185,납부
CUST000041,2024-04,794.0,926142,연체
CUST000041,2024-05,620.64,669109,납부
CUST000041,2024-06,455.97,468841,납부
CUST000041,2024-07,279.16,297386,납부
CUST000041,2024-08,157.25,188291,납부
CUST000041,2024-09,518.83,550559,납부
CUST000041,2024-10,288.26,326190,납부
CUST000041,2024-11,724.79,657751,납부
CUST000041,2024-12,610.21,711048,납부
CUST000042,2024-01,243.12,244561,납부
CUST000042,2024-02,190.41,227436,납부
CUST000042,2024-03,195.01,205596,납부
CUST000042,2024-04,265.8,298113,납부
CUST000042,2024-05,199.08,230467,연체
CUST000042,2024-06,178.06,211333,연체
CUST000042,2024-07,112.65,127566,납부
CUST000042,2024-08,326.23,346270,납부
CUST000042,2024-09,195.11,196866,납부
CUST000042,2024-10,246.93,272149,납부
CUST000042,2024-11,169.52,162060,납부
CUST000042,2024-12,248.89,278552,면제
CUST000043,2024-01,14.17,16268,납부
CUST000043,2024-02,34.36,40927,납부
CUST000043,2024-03,32.95,32020,납부
CUST000043,2024-04,5.0,5165,납부
CUST000043,2024-05,11.28,10155,납부
CUST000043,2024-06,32.51,31977,납부
CUST000043,2024-07,30.21,33462,납부
CUST000043,2024-08,20.05,22876,납부
CUST000043,2024-09,42.38,43580,납부
CUST000043,2024-10,30.76,31696,납부
CUST000043,2024-11,23.99,24029,납부
CUST000043,2024-12,34.81,35078,납부
CUST000044,2024-01,701.41,796786,납부
CUST000044,2024-02,553.64,662497,납부
CUST000044,2024-03,671.42,751289,납부
CUST000044,2024-04,448.61,430143,납부
CUST000044,2024-05,501.9,554622,납부
CUST000044,2024-06,670.59,772991,납부
CUST000044,2024-07,349.06,386428,납부
CUST000044,2024-08,530.24,484028,납부
CUST000044,2024-09,350.78,359886,납부
CUST000044,2024-10,466.13,477633,납부
CUST000044,2024-11,627.92,679479,납부
CUST000044,2024-12,611.21,720803,납부
CUST000045,2024-01,553.0,575112,납부
CUST000045,2024-02,299.48,349472,납부
CUST000045,2024-03,535.15,556757,납부
CUST000045,2024-04,580.16,659768,납부
CUST000045,2024-05,509.82,483332,납부
CUST000045,2024-06,386.65,397062,납부
CUST000045,2024-07,599.19,684676,납부
CUST000045,2024-08,364.26,383186,납부
CUST000045,2024-09,484.14,514727,납부
CUST000045,2024-10,471.83,510286,납부
CUST000045,2024-11,541.22,546167,납부
CUST000045,2024-12,443.96,467891,납부
CUST000046,2024-01,650.83,637624,연체
CUST000046,2024-02,960.13,996011,납부
CUST000046,2024-03,344.57,362065,납부
CUST000046,2024-04,471.95,472581,납부
CUST000046,2024-05,438.22,494421,납부
CUST000046,2024-06,657.26,631184,납부
CUST000046,2024-07,365.48,438389,납부
CUST000046,2024-08,442.49,456804,납부
CUST000046,2024-09,593.7,561043,납부
CUST000046,2024-10,238.18,238121,납부
CUST000046,2024-11,589.74,678632,납부
CUST000046,2024-12,549.74,558821,납부
CUST000047,2024-01,170.21,158488,납부
CUST000047,2024-02,164.39,186221,납부
CUST000047,2024-03,108.6,117385,면제
CUST000047,2024-04,71.68,75115,납부
CUST000047,2024-05,225.19,216534,납부
CUST000047,2024-06,249.22,279706,납부
CUST000047,2024-07,209.92,217443,납부
CUST000047,2024-08,121.11,136940,납부
CUST000047,2024-09,83.32,84953,납부
CUST000047,2024-10,170.31,186540,납부
CUST000047,2024-11,156.0,152155,납부
CUST000047,2024-12,135.27,152048,납부
CUST000048,2024-01,117.84,126044,납부
CUST000048,2024-02,112.72,108319,납부
CUST000048,2024-03,199.49,230342,납부
CUST000048,2024-04,145.76,162088,납부
CUST000048,2024-05,99.71,114634,납부
CUST000048,2024-06,191.62,216904,납부
CUST000048,2024-07,133.85,146743,납부
CUST000048,2024-08,181.44,183236,납부
CUST000048,2024-09,158.62,181170,납부
CUST000048,2024-10,183.08,190690,연체
CUST000048,2024-11,194.15,175916,납부
CUST000048,2024-12,41.52,45361,납부
CUST000049,2024-01,134.74,139269,납부
CUST000049,2024-02,215.11,225588,연체
CUST000049,2024-03,195.91,228643,납부
CUST000049,2024-04,202.71,227679,납부
CUST000049,2024-05,131.32,135461,납부
CUST000049,2024-06,244.47,231138,납부
CUST000049,2024-07,178.27,197447,납부
CUST000049,2024-08,185.86,201719,납부
CUST000049,2024-09,233.28,211912,연체
CUST000049,2024-10,120.16,126998,납부
CUST000049,2024-11,164.08,167015,납부
CUST000049,2024-12,186.63,194276,납부
CUST000050,2024-01,450.78,419241,납부
CUST000050,2024-02,426.5,401155,납부
CUST000050,2024-03,323.71,353437,납부
CUST000050,2024-04,398.83,406821,납부
CUST000050,2024-05,210.53,224785,납부
CUST000050,2024-06,487.14,442324,납부
CUST000050,2024-07,661.57,770629,납부
CUST000050,2024-08,526.7,540251,납부
CUST000050,2024-09,563.55,633016,연체
CUST000050,2024-10,415.51,375013,납부
CUST000050,2024-11,576.45,673476,납부
CUST000050,2024-12,646.64,697779,납부
CUST000051,2024-01,502.37,543993,납부
CUST000051,2024-02,418.65,411111,납부
CUST000051,2024-03,671.7,673523,납부
CUST000051,2024-04,484.8,579556,연체
CUST000051,2024-05,358.51,410783,납부
CUST000051,2024-06,361.18,431425,납부
CUST000051,2024-07,754.87,905724,납부
CUST000051,2024-08,395.27,446060,연체
CUST000051,2024-09,551.44,637051,면제
CUST000051,2024-10,402.95,388154,납부
CUST000051,2024-11,331.52,358089,납부
CUST000051,2024-12,620.46,620482,납부
CUST000052,2024-01,7.15,7496,납부
CUST000052,2024-02,43.17,40913,납부
CUST000052,2024-03,33.19,37693,납부
CUST000052,2024-04,18.18,16955,납부
CUST000052,2024-05,32.13,35805,납부
CUST000052,2024-06,29.08,28698,납부
CUST000052,2024-07,34.7,36574,납부
CUST000052,2024-08,24.46,26957,납부
CUST000052,2024-09,16.56,17645,면제
CUST000052,2024-10,30.51,28131,납부
CUST000052,2024-11,22.77,23081,납부
CUST000052,2024-12,22.61,26543,납부
CUST000053,2024-01,327.93,346475,납부
CUST000053,2024-02,240.14,229953,납부
CUST000053,2024-03,278.26,314173,납부
CUST000053,2024-04,173.84,161077,연체
CUST000053,2024-05,268.57,246398,납부
CUST000053,2024-06,206.8,219591,연체
CUST000053,2024-07,186.47,190569,연체
CUST000053,2024-08,179.03,211553,면제
CUST000053,2024-09,261.76,305687,납부
CUST000053,2024-10,171.71,186455,연체
CUST000053,2024-11,142.95,148293,납부
CUST000053,2024-12,194.78,209058,납부
CUST000054,2024-01,15.91,18870,납부
CUST000054,2024-02,53.27,50969,납부
CUST000054,2024-03,37.26,36566,납부
CUST000054,2024-04,24.2,25533,납부
CUST000054,2024-05,36.3,42729,납부
CUST000054,2024-06,41.51,39606,납부
CUST000054,2024-07,42.48,48834,납부
CUST000054,2024-08,40.47,42077,납부
CUST000054,2024-09,21.9,23764,납부
CUST000054,2024-10,24.85,22957,납부
CUST000054,2024-11,15.51,17460,납부
CUST000054,2024-12,41.39,43281,납부
CUST000055,2024-01,122.42,145573,연체
CUST000055,2024-02,281.2,324621,연체
CUST000055,2024-03,300.74,337621,납부
CUST000055,2024-04,59.36,69280,납부
CUST000055,2024-05,230.96,255772,납부
CUST000055,2024-06,252.17,286385,연체
CUST000055,2024-07,234.0,238125,면제
CUST000055,2024-08,123.75,129156,납부
CUST000055,2024-09,292.61,270031,납부
CUST000055,2024-10,128.88,151993,연체
CUST000055,2024-11,148.94,134602,납부
CUST000055,2024-12,230.04,264886,납부
CUST000056,2024-01,245.56,264184,납부
CUST000056,2024-02,152.75,171664,납부
CUST000056,2024-03,185.5,197746,납부
CUST000056,2024-04,220.85,209938,면제
