불만ID,고객ID,접수일시,카테고리,내용,상태,만족도,해결완료일
COMP000026,CUST001451,2024-09-10 19:00:00,기타,공급이 자주 끊겨요,완료,3,2023-01-19
COMP000027,CUST002227,2024-10-14 09:00:00,안전,정기점검을 안 해줬어요,접수,3,
COMP000028,CUST001989,2024-06-04 17:00:00,서비스,앱 사용이 불편해요,완료,1,2024-01-27
COMP000029,CUST003663,2023-07-31 20:00:00,공급,청구서 오류가 있습니다,접수,1,2023-08-27
COMP000030,CUST002533,2024-11-18 14:00:00,기술,정기점검을 안 해줬어요,완료,5,2024-12-22
COMP000031,CUST004020,2023-12-16 11:00:00,요금,앱 사용이 불편해요,보류,4,
COMP000032,CUST001751,2023-02-25 07:00:00,기술,앱 사용이 불편해요,보류,3,2024-09-23
COMP000033,CUST000539,2024-04-10 10:00:00,안전,요금이 지난달보다 많이 나왔어요,완료,2,
COMP000034,CUST000189,2024-07-27 19:00:00,서비스,요금이 지난달보다 많이 나왔어요,처리중,3,2023-08-31
COMP000035,CUST003019,2024-09-06 15:00:00,요금,고객센터 응답이 느려요,완료,4,
COMP000036,CUST001035,2024-11-03 11:00:00,기타,환불이 안 되네요,처리중,4,
COMP000037,CUST004691,2024-04-08 03:00:00,기술,계약 변경이 어려워요,완료,3,
COMP000038,CUST000884,2023-04-10 21:00:00,안전,고객센터 응답이 느려요,보류,2,2024-01-19
COMP000039,CUST004824,2023-08-16 00:00:00,기술,앱 사용이 불편해요,완료,5,2023-07-26
COMP000040,CUST004132,2023-12-16 11:00:00,기타,정기점검을 안 해줬어요,완료,3,2023-07-29
COMP000041,CUST003339,2024-10-10 09:00:00,기술,고객센터 응답이 느려요,처리중,3,
COMP000042,CUST004883,2024-07-14 16:00:00,기술,계약 변경이 어려워요,완료,4,2024-09-04
COMP000043,CUST001904,2024-01-18 22:00:00,서비스,정기점검을 안 해줬어요,완료,1,
COMP000044,CUST003197,2023-04-19 01:00:00,공급,앱 사용이 불편해요,완료,5,2023-12-03
COMP000045,CUST002328,2023-06-18 15:00:00,기술,공급이 자주 끊겨요,처리중,4,2023-11-22
COMP000046,CUST000731,2023-05-24 22:00:00,공급,상담원 친절도가 떨어져요,완료,4,
COMP000047,CUST000819,2024-02-24 03:00:00,기술,앱 사용이 불편해요,접수,3,
COMP000048,CUST003982,2023-09-18 19:00:00,요금,환불이 안 되네요,보류,1,2024-02-29
COMP000049,CUST002713,2023-07-20 06:00:00,서비스,환불이 안 되네요,완료,5,
COMP000050,CUST002677,2023-05-04 12:00:00,서비스,상담원 친절도가 떨어져요,접수,4,2023-01-25
COMP000051,CUST001812,2023-08-09 14:00:00,요금,앱 사용이 불편해요,완료,1,2023-12-06
COMP000052,CUST001216,2023-07-15 22:00:00,안전,앱 사용이 불편해요,완료,2,2023-07-30
COMP000053,CUST003259,2023-12-13 03:00:00,서비스,환불이 안 되네요,완료,5,2024-11-11
COMP000054,CUST000794,2024-02-29 01:00:00,기술,고객센터 응답이 느려요,보류,3,
COMP000055,CUST000724,2024-10-10 21:00:00,기타,환불이 안 되네요,보류,1,
COMP000056,CUST000853,2024-08-25 03:00:00,공급,요금이 지난달보다 많이 나왔어요,완료,2,
COMP000057,CUST001770,2024-04-06 14:00:00,요금,정기점검을 안 해줬어요,완료,1,2024-01-26
COMP000058,CUST004783,2024-11-05 18:00:00,안전,계약 변경이 어려워요,완료,4,2023-07-07
COMP000059,CUST003061,2024-05-31 04:00:00,기술,앱 사용이 불편해요,접수,3,2023-01-07
COMP000060,CUST000293,2024-05-25 00:00:00,서비스,상담원 친절도가 떨어져요,완료,4,2024-05-18
COMP000061,CUST003458,2024-06-27 23:00:00,안전,정기점검을 안 해줬어요,완료,2,2023-07-17
COMP000062,CUST003985,2023-02-19 17:00:00,요금,상담원 친절도가 떨어져요,완료,5,2023-05-25
COMP000063,CUST001922,2024-03-19 18:00:00,기술,청구서 오류가 있습니다,처리중,3,
COMP000064,CUST000101,2024-05-09 16:00:00,안전,계약 변경이 어려워요,처리중,4,2023-06-27
COMP000065,CUST004229,2023-07-01 22:00:00,안전,청구서 오류가 있습니다,완료,5,2023-07-29
COMP000066,CUST003451,2024-08-15 05:00:00,기술,요금이 지난달보다 많이 나왔어요,완료,5,2023-03-22
COMP000067,CUST004037,2023-05-12 03:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,3,2024-04-23
COMP000068,CUST003681,2024-02-01 21:00:00,기타,상담원 친절도가 떨어져요,완료,3,2023-07-22
COMP000069,CUST002886,2024-09-06 19:00:00,서비스,요금이 지난달보다 많이 나왔어요,처리중,1,2023-06-30
COMP000070,CUST002943,2023-11-26 16:00:00,요금,고객센터 응답이 느려요,접수,2,
COMP000071,CUST003342,2024-01-29 13:00:00,공급,청구서 오류가 있습니다,완료,1,2024-08-13
COMP000072,CUST002362,2024-09-15 22:00:00,서비스,청구서 오류가 있습니다,완료,4,2024-10-12
COMP000073,CUST003457,2023-09-12 08:00:00,기타,상담원 친절도가 떨어져요,완료,3,2024-05-07
COMP000074,CUST001124,2024-02-12 10:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,5,2024-01-04
COMP000075,CUST001066,2023-10-29 14:00:00,요금,청구서 오류가 있습니다,완료,2,2023-06-21
COMP000076,CUST000338,2023-05-17 04:00:00,안전,정기점검을 안 해줬어요,완료,5,2024-03-08
COMP000077,CUST001278,2024-02-27 19:00:00,안전,공급이 자주 끊겨요,완료,3,2024-03-19
COMP000078,CUST001245,2024-12-17 23:00:00,안전,정기점검을 안 해줬어요,완료,1,
COMP000079,CUST003026,2024-06-08 09:00:00,서비스,청구서 오류가 있습니다,완료,4,
COMP000080,CUST002177,2024-12-19 17:00:00,기타,청구서 오류가 있습니다,완료,3,
COMP000081,CUST001728,2023-11-18 22:00:00,공급,정기점검을 안 해줬어요,완료,1,2024-01-26
COMP000082,CUST001337,2024-07-20 20:00:00,요금,청구서 오류가 있습니다,완료,2,2023-03-27
COMP000083,CUST001547,2023-08-11 06:00:00,기술,요금이 지난달보다 많이 나왔어요,접수,1,
COMP000084,CUST002844,2023-08-03 19:00:00,안전,가스 냄새가 심합니다,보류,3,
COMP000085,CUST002550,2023-10-25 21:00:00,공급,가스 냄새가 심합니다,완료,5,2023-06-06
COMP000086,CUST004961,2023-12-20 21:00:00,요금,가스 냄새가 심합니다,완료,5,2023-06-29
COMP000087,CUST003488,2023-05-16 22:00:00,기술,계약 변경이 어려워요,완료,4,2024-04-19
COMP000088,CUST000468,2024-10-27 05:00:00,안전,상담원 친절도가 떨어져요,완료,5,2023-10-18
COMP000089,CUST004169,2024-05-30 17:00:00,기술,공급이 자주 끊겨요,완료,4,2024-09-12
COMP000090,CUST001127,2024-12-11 20:00:00,기술,공급이 자주 끊겨요,완료,1,2023-12-08
COMP000091,CUST004443,2023-11-27 22:00:00,기술,계약 변경이 어려워요,처리중,1,2024-04-25
COMP000092,CUST004489,2023-04-29 11:00:00,요금,공급이 자주 끊겨요,처리중,4,2023-07-14
COMP000093,CUST004553,2024-07-29 15:00:00,서비스,청구서 오류가 있습니다,완료,5,2024-05-27
COMP000094,CUST001217,2024-08-19 18:00:00,서비스,고객센터 응답이 느려요,완료,3,
COMP000095,CUST004981,2024-11-14 22:00:00,요금,요금이 지난달보다 많이 나왔어요,완료,2,2024-02-19
COMP000096,CUST002988,2024-03-03 21:00:00,공급,환불이 안 되네요,완료,1,
COMP000097,CUST001198,2024-06-30 09:00:00,공급,청구서 오류가 있습니다,완료,4,
COMP000098,CUST000209,2024-03-08 00:00:00,서비스,요금이 지난달보다 많이 나왔어요,접수,5,
COMP000099,CUST000759,2024-06-19 03:00:00,기술,앱 사용이 불편해요,처리중,1,2024-05-16
COMP000100,CUST001811,2023-01-26 12:00:00,요금,정기점검을 안 해줬어요,접수,5,2024-08-25
COMP000101,CUST003614,2023-05-29 01:00:00,요금,상담원 친절도가 떨어져요,접수,1,2023-02-09
COMP000102,CUST003770,2024-11-17 01:00:00,안전,환불이 안 되네요,처리중,1,
COMP000103,CUST003261,2023-07-24 08:00:00,요금,정기점검을 안 해줬어요,접수,5,2024-08-02
COMP000104,CUST000907,2023-06-14 09:00:00,안전,계약 변경이 어려워요,접수,4,2024-03-22
COMP000105,CUST002255,2024-11-30 08:00:00,기술,요금이 지난달보다 많이 나왔어요,처리중,2,
COMP000106,CUST002325,2023-05-30 01:00:00,서비스,앱 사용이 불편해요,처리중,4,
COMP000107,CUST002000,2024-12-08 09:00:00,서비스,상담원 친절도가 떨어져요,완료,4,
COMP000108,CUST001712,2023-07-28 17:00:00,요금,요금이 지난달보다 많이 나왔어요,완료,2,2024-12-27
COMP000109,CUST004456,2023-02-03 11:00:00,공급,청구서 오류가 있습니다,완료,4,2024-12-06
COMP000110,CUST002305,2024-04-08 03:00:00,요금,정기점검을 안 해줬어요,처리중,5,2023-03-01
COMP000111,CUST000492,2024-09-22 21:00:00,요금,상담원 친절도가 떨어져요,완료,4,
COMP000112,CUST004597,2024-07-29 07:00:00,기술,정기점검을 안 해줬어요,완료,4,
COMP000113,CUST003406,2024-10-24 17:00:00,기술,청구서 오류가 있습니다,처리중,4,
COMP000114,CUST000838,2024-02-03 07:00:00,기타,상담원 친절도가 떨어져요,완료,4,2023-02-05
COMP000115,CUST003398,2024-06-07 22:00:00,기타,공급이 자주 끊겨요,완료,2,
COMP000116,CUST002427,2023-10-22 22:00:00,요금,앱 사용이 불편해요,접수,3,2024-12-24
COMP000117,CUST002496,2024-11-11 01:00:00,요금,공급이 자주 끊겨요,완료,4,
COMP000118,CUST002327,2024-01-26 12:00:00,서비스,가스 냄새가 심합니다,처리중,5,
COMP000119,CUST004431,2024-03-02 21:00:00,서비스,청구서 오류가 있습니다,처리중,3,
COMP000120,CUST000576,2023-11-17 17:00:00,안전,앱 사용이 불편해요,접수,2,2024-04-11
COMP000121,CUST002344,2023-02-25 00:00:00,기타,환불이 안 되네요,완료,5,
COMP000122,CUST001374,2023-09-15 06:00:00,기타,청구서 오류가 있습니다,완료,3,2023-09-11
COMP000123,CUST004201,2024-09-27 14:00:00,기타,고객센터 응답이 느려요,완료,4,
COMP000124,CUST000792,2023-08-19 20:00:00,안전,상담원 친절도가 떨어져요,접수,4,
COMP000125,CUST001435,2024-12-22 22:00:00,기술,계약 변경이 어려워요,완료,4,
COMP000126,CUST001695,2024-10-25 11:00:00,공급,청구서 오류가 있습니다,완료,3,2023-04-05
COMP000127,CUST000714,2024-08-25 17:00:00,공급,정기점검을 안 해줬어요,완료,2,
COMP000128,CUST000066,2024-09-09 06:00:00,안전,가스 냄새가 심합니다,접수,5,
COMP000129,CUST001201,2023-07-18 09:00:00,서비스,앱 사용이 불편해요,처리중,1,2024-08-23
COMP000130,CUST003217,2024-04-04 05:00:00,안전,공급이 자주 끊겨요,완료,2,
COMP000131,CUST003738,2024-11-30 02:00:00,기타,환불이 안 되네요,완료,4,2023-07-13
COMP000132,CUST001107,2023-07-11 05:00:00,요금,가스 냄새가 심합니다,접수,3,
COMP000133,CUST003736,2024-06-10 03:00:00,요금,계약 변경이 어려워요,보류,5,2024-03-13
COMP000134,CUST001790,2024-01-22 01:00:00,안전,계약 변경이 어려워요,처리중,2,2023-11-06
COMP000135,CUST001870,2024-03-14 08:00:00,기타,요금이 지난달보다 많이 나왔어요,완료,5,2024-06-29
COMP000136,CUST000387,2024-07-23 08:00:00,공급,계약 변경이 어려워요,접수,4,
COMP000137,CUST001037,2023-05-14 05:00:00,기술,상담원 친절도가 떨어져요,접수,2,2023-11-12
COMP000138,CUST000127,2024-08-21 08:00:00,기타,정기점검을 안 해줬어요,접수,5,
COMP000139,CUST002172,2023-01-06 10:00:00,기타,가스 냄새가 심합니다,보류,3,
COMP000140,CUST001925,2024-04-22 22:00:00,공급,상담원 친절도가 떨어져요,완료,1,
COMP000141,CUST000648,2023-06-08 01:00:00,기타,공급이 자주 끊겨요,접수,5,
COMP000142,CUST003282,2023-06-07 10:00:00,공급,상담원 친절도가 떨어져요,보류,3,2024-08-09
COMP000143,CUST003692,2024-09-03 01:00:00,서비스,공급이 자주 끊겨요,처리중,1,
COMP000144,CUST000475,2024-10-02 19:00:00,기술,상담원 친절도가 떨어져요,완료,1,2023-05-27
COMP000145,CUST001241,2024-11-08 09:00:00,기타,청구서 오류가 있습니다,처리중,1,2023-08-03
COMP000146,CUST000352,2024-05-17 18:00:00,공급,계약 변경이 어려워요,완료,2,
COMP000147,CUST004428,2024-07-17 11:00:00,기술,공급이 자주 끊겨요,접수,2,2023-11-12
COMP000148,CUST000013,2023-03-16 22:00:00,공급,상담원 친절도가 떨어져요,완료,4,2023-06-22
COMP000149,CUST001291,2023-11-22 16:00:00,요금,환불이 안 되네요,완료,5,
COMP000150,CUST004524,2023-08-14 05:00:00,기술,앱 사용이 불편해요,완료,4,2023-03-13
COMP000151,CUST004557,2024-06-17 02:00:00,기타,정기점검을 안 해줬어요,완료,1,
COMP000152,CUST004024,2024-06-01 05:00:00,기술,가스 냄새가 심합니다,완료,3,2024-03-02
COMP000153,CUST000217,2024-03-01 17:00:00,서비스,청구서 오류가 있습니다,완료,4,
COMP000154,CUST000108,2024-07-03 12:00:00,공급,공급이 자주 끊겨요,접수,4,
COMP000155,CUST004406,2023-04-05 11:00:00,요금,계약 변경이 어려워요,완료,5,2024-01-19
COMP000156,CUST004706,2023-08-15 06:00:00,요금,환불이 안 되네요,보류,1,2023-05-18
COMP000157,CUST004164,2024-11-10 10:00:00,요금,계약 변경이 어려워요,완료,4,2023-07-06
COMP000158,CUST000934,2023-12-06 11:00:00,공급,정기점검을 안 해줬어요,처리중,4,2023-04-23
COMP000159,CUST003445,2023-10-28 06:00:00,요금,환불이 안 되네요,완료,1,2023-08-06
COMP000160,CUST001903,2024-09-25 16:00:00,요금,청구서 오류가 있습니다,처리중,1,2023-03-02
COMP000161,CUST000170,2024-05-01 17:00:00,서비스,가스 냄새가 심합니다,완료,3,
COMP000162,CUST000022,2024-10-26 00:00:00,요금,정기점검을 안 해줬어요,완료,2,
COMP000163,CUST000289,2023-04-28 21:00:00,기술,정기점검을 안 해줬어요,접수,2,2024-02-23
COMP000164,CUST004395,2023-12-21 14:00:00,기술,계약 변경이 어려워요,완료,3,2024-10-01
COMP000165,CUST001782,2023-09-04 20:00:00,기타,상담원 친절도가 떨어져요,접수,1,2024-10-13
COMP000166,CUST004572,2024-09-20 19:00:00,요금,환불이 안 되네요,접수,3,2023-10-28
COMP000167,CUST001185,2023-09-07 01:00:00,공급,앱 사용이 불편해요,완료,1,2023-05-08
COMP000168,CUST004517,2024-11-29 10:00:00,기타,환불이 안 되네요,접수,3,2023-12-17
COMP000169,CUST000219,2024-01-26 03:00:00,공급,고객센터 응답이 느려요,접수,5,2023-08-29
COMP000170,CUST004598,2024-01-31 08:00:00,기타,요금이 지난달보다 많이 나왔어요,보류,1,2024-11-19
COMP000171,CUST001594,2024-07-07 23:00:00,안전,환불이 안 되네요,완료,4,
COMP000172,CUST002944,2023-10-17 00:00:00,기술,고객센터 응답이 느려요,접수,5,2023-09-30
COMP000173,CUST002648,2024-06-13 11:00:00,서비스,상담원 친절도가 떨어져요,접수,4,
COMP000174,CUST003489,2024-06-10 16:00:00,서비스,앱 사용이 불편해요,완료,5,2024-08-19
COMP000175,CUST000875,2024-04-01 15:00:00,서비스,가스 냄새가 심합니다,접수,1,
COMP000176,CUST003030,2023-02-14 09:00:00,기술,앱 사용이 불편해요,완료,2,2023-08-05
COMP000177,CUST001493,2024-10-29 06:00:00,서비스,계약 변경이 어려워요,접수,2,2023-01-08
COMP000178,CUST003719,2023-11-25 16:00:00,기타,환불이 안 되네요,완료,2,2024-06-16
COMP000179,CUST000849,2023-03-26 03:00:00,기타,상담원 친절도가 떨어져요,접수,4,
COMP000180,CUST002924,2023-06-21 17:00:00,공급,정기점검을 안 해줬어요,처리중,4,
COMP000181,CUST001780,2024-06-30 00:00:00,기술,상담원 친절도가 떨어져요,완료,1,
COMP000182,CUST002317,2024-10-03 02:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,3,2023-12-12
COMP000183,CUST000810,2023-08-04 21:00:00,요금,환불이 안 되네요,처리중,2,
COMP000184,CUST000741,2024-10-06 06:00:00,안전,가스 냄새가 심합니다,완료,3,2024-11-29
COMP000185,CUST002066,2024-12-02 13:00:00,요금,청구서 오류가 있습니다,완료,2,
COMP000186,CUST000431,2023-04-17 06:00:00,기술,앱 사용이 불편해요,접수,2,
COMP000187,CUST003567,2024-07-04 22:00:00,공급,고객센터 응답이 느려요,완료,3,
COMP000188,CUST002580,2024-03-21 20:00:00,기타,가스 냄새가 심합니다,접수,2,
COMP000189,CUST000415,2023-03-15 23:00:00,요금,고객센터 응답이 느려요,완료,1,
COMP000190,CUST002594,2024-12-03 04:00:00,서비스,계약 변경이 어려워요,완료,3,2023-02-28
COMP000191,CUST003038,2023-01-25 14:00:00,요금,정기점검을 안 해줬어요,접수,3,
COMP000192,CUST001003,2023-12-06 01:00:00,요금,정기점검을 안 해줬어요,완료,3,
COMP000193,CUST002695,2023-03-31 02:00:00,공급,청구서 오류가 있습니다,처리중,1,
COMP000194,CUST000949,2023-02-25 05:00:00,공급,공급이 자주 끊겨요,보류,2,2024-12-16
COMP000195,CUST000942,2023-09-15 17:00:00,서비스,가스 냄새가 심합니다,완료,1,2023-05-23
COMP000196,CUST003512,2023-03-14 18:00:00,기술,정기점검을 안 해줬어요,처리중,3,2023-05-06
COMP000197,CUST003522,2023-08-22 08:00:00,요금,계약 변경이 어려워요,완료,3,
COMP000198,CUST000692,2024-02-22 12:00:00,기술,계약 변경이 어려워요,완료,2,2024-12-17
COMP000199,CUST003885,2024-04-06 20:00:00,공급,고객센터 응답이 느려요,완료,3,
COMP000200,CUST001080,2024-02-19 13:00:00,기술,계약 변경이 어려워요,접수,3,2024-04-07
COMP000201,CUST000100,2023-11-20 00:00:00,안전,상담원 친절도가 떨어져요,접수,3,
COMP000202,CUST000590,2024-02-03 21:00:00,서비스,가스 냄새가 심합니다,접수,5,
COMP000203,CUST003604,2023-05-02 17:00:00,요금,정기점검을 안 해줬어요,처리중,5,2024-02-28
COMP000204,CUST003464,2023-01-07 20:00:00,공급,가스 냄새가 심합니다,완료,2,
COMP000205,CUST000670,2024-09-25 02:00:00,요금,공급이 자주 끊겨요,완료,5,2024-10-15
COMP000206,CUST000994,2024-08-22 01:00:00,요금,고객센터 응답이 느려요,처리중,5,
COMP000207,CUST004414,2024-12-18 02:00:00,공급,가스 냄새가 심합니다,접수,3,
COMP000208,CUST002896,2024-01-02 16:00:00,기타,요금이 지난달보다 많이 나왔어요,완료,1,2024-01-04
COMP000209,CUST004010,2023-04-19 09:00:00,기타,가스 냄새가 심합니다,완료,5,
COMP000210,CUST004250,2024-12-03 09:00:00,서비스,계약 변경이 어려워요,처리중,5,
COMP000211,CUST001662,2024-09-13 02:00:00,요금,앱 사용이 불편해요,처리중,3,
COMP000212,CUST003882,2023-10-16 14:00:00,안전,앱 사용이 불편해요,완료,3,
COMP000213,CUST000738,2024-01-26 12:00:00,기타,환불이 안 되네요,보류,5,2024-05-11
COMP000214,CUST002975,2024-11-07 00:00:00,서비스,정기점검을 안 해줬어요,처리중,3,2024-09-19
COMP000215,CUST001560,2024-04-30 05:00:00,공급,정기점검을 안 해줬어요,완료,1,
COMP000216,CUST002783,2024-06-30 07:00:00,기타,요금이 지난달보다 많이 나왔어요,접수,3,2024-05-02
COMP000217,CUST004717,2023-05-20 23:00:00,기타,가스 냄새가 심합니다,완료,5,
COMP000218,CUST003521,2024-02-05 17:00:00,요금,고객센터 응답이 느려요,처리중,5,
COMP000219,CUST002454,2023-10-30 20:00:00,공급,계약 변경이 어려워요,완료,4,
COMP000220,CUST002174,2023-05-28 09:00:00,기술,고객센터 응답이 느려요,완료,1,
COMP000221,CUST004458,2024-11-24 23:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,2,2023-07-19
COMP000222,CUST001037,2024-10-25 11:00:00,서비스,계약 변경이 어려워요,접수,4,
COMP000223,CUST003031,2023-01-12 17:00:00,요금,계약 변경이 어려워요,완료,2,
COMP000224,CUST004081,2024-07-22 04:00:00,서비스,환불이 안 되네요,완료,5,
COMP000225,CUST000849,2023-05-07 01:00:00,서비스,고객센터 응답이 느려요,완료,2,
COMP000226,CUST001292,2023-01-06 18:00:00,요금,요금이 지난달보다 많이 나왔어요,완료,2,
COMP000227,CUST002591,2024-09-02 12:00:00,기타,앱 사용이 불편해요,처리중,5,2024-05-24
COMP000228,CUST003368,2024-07-04 17:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,2,
COMP000229,CUST002587,2023-03-29 09:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,3,2024-11-20
COMP000230,CUST001493,2023-08-04 23:00:00,안전,공급이 자주 끊겨요,보류,5,
COMP000231,CUST000495,2023-12-19 06:00:00,요금,청구서 오류가 있습니다,접수,5,
COMP000232,CUST000670,2024-02-27 20:00:00,안전,상담원 친절도가 떨어져요,처리중,2,2024-04-01
COMP000233,CUST000173,2024-06-08 04:00:00,요금,계약 변경이 어려워요,접수,3,
COMP000234,CUST000110,2023-06-14 05:00:00,안전,공급이 자주 끊겨요,처리중,5,2024-07-07
COMP000235,CUST003884,2023-08-15 19:00:00,요금,정기점검을 안 해줬어요,완료,1,2023-08-05
COMP000236,CUST002945,2023-09-16 06:00:00,안전,청구서 오류가 있습니다,완료,2,2024-11-06
COMP000237,CUST004377,2023-04-28 05:00:00,서비스,공급이 자주 끊겨요,완료,1,
COMP000238,CUST003725,2024-11-18 18:00:00,기타,정기점검을 안 해줬어요,처리중,5,2023-01-30
COMP000239,CUST001625,2023-02-25 17:00:00,기술,고객센터 응답이 느려요,완료,5,2023-12-01
COMP000240,CUST001365,2024-04-17 20:00:00,안전,가스 냄새가 심합니다,보류,3,
COMP000241,CUST003522,2024-07-16 02:00:00,서비스,공급이 자주 끊겨요,보류,3,
COMP000242,CUST001367,2023-10-25 21:00:00,기타,상담원 친절도가 떨어져요,완료,5,2023-09-21
COMP000243,CUST003055,2023-03-10 08:00:00,기타,환불이 안 되네요,완료,3,
COMP000244,CUST001339,2023-04-11 06:00:00,공급,공급이 자주 끊겨요,처리중,4,
COMP000245,CUST004656,2024-08-17 15:00:00,기타,환불이 안 되네요,완료,4,
COMP000246,CUST004313,2023-12-05 11:00:00,기술,상담원 친절도가 떨어져요,접수,1,
COMP000247,CUST002851,2023-05-12 21:00:00,서비스,환불이 안 되네요,처리중,4,
COMP000248,CUST004976,2024-11-02 07:00:00,기타,계약 변경이 어려워요,완료,2,
COMP000249,CUST000550,2023-04-13 09:00:00,공급,앱 사용이 불편해요,처리중,2,2024-12-09
COMP000250,CUST002908,2024-09-26 02:00:00,요금,공급이 자주 끊겨요,완료,4,2023-08-18
COMP000251,CUST002389,2023-07-18 10:00:00,기술,가스 냄새가 심합니다,완료,4,
COMP000252,CUST003076,2024-05-12 14:00:00,기타,상담원 친절도가 떨어져요,완료,1,
COMP000253,CUST000288,2023-12-03 19:00:00,안전,공급이 자주 끊겨요,완료,3,
COMP000254,CUST001847,2024-11-06 09:00:00,기타,청구서 오류가 있습니다,접수,1,
COMP000255,CUST000612,2024-12-11 18:00:00,서비스,청구서 오류가 있습니다,완료,3,2024-01-26
COMP000256,CUST004353,2023-06-06 18:00:00,기타,상담원 친절도가 떨어져요,완료,3,
COMP000257,CUST004396,2024-08-03 11:00:00,기술,정기점검을 안 해줬어요,처리중,3,
COMP000258,CUST003069,2023-11-20 13:00:00,요금,가스 냄새가 심합니다,처리중,1,
COMP000259,CUST002253,2023-06-22 00:00:00,기타,정기점검을 안 해줬어요,완료,1,2023-08-27
COMP000260,CUST002280,2023-11-17 07:00:00,공급,가스 냄새가 심합니다,접수,4,2023-04-29
COMP000261,CUST003217,2023-08-15 22:00:00,안전,고객센터 응답이 느려요,완료,2,2023-04-25
COMP000262,CUST004094,2024-10-18 13:00:00,안전,공급이 자주 끊겨요,완료,2,2024-08-29
COMP000263,CUST001961,2023-10-11 11:00:00,요금,고객센터 응답이 느려요,접수,2,
COMP000264,CUST004404,2023-05-18 21:00:00,요금,가스 냄새가 심합니다,접수,5,
COMP000265,CUST003714,2023-12-06 15:00:00,요금,계약 변경이 어려워요,완료,4,2024-01-12
COMP000266,CUST001255,2024-04-18 14:00:00,기술,앱 사용이 불편해요,완료,3,2023-11-17
COMP000267,CUST001774,2024-01-03 09:00:00,서비스,정기점검을 안 해줬어요,완료,2,
COMP000268,CUST004985,2024-05-13 17:00:00,기타,계약 변경이 어려워요,완료,3,2023-01-02
COMP000269,CUST002258,2023-04-22 05:00:00,요금,상담원 친절도가 떨어져요,보류,2,2024-08-27
COMP000270,CUST001799,2024-10-23 19:00:00,기술,요금이 지난달보다 많이 나왔어요,처리중,3,2024-02-02
COMP000271,CUST003960,2023-03-25 08:00:00,서비스,앱 사용이 불편해요,처리중,5,
COMP000272,CUST004973,2023-05-24 17:00:00,공급,환불이 안 되네요,완료,4,2024-01-09
COMP000273,CUST000546,2023-07-21 08:00:00,기술,청구서 오류가 있습니다,완료,4,
COMP000274,CUST003656,2024-10-03 02:00:00,기타,공급이 자주 끊겨요,보류,3,
