고객ID,가입일,지역,고객타입,계약기간,요금제
CUST000062,2023-12-27,부산,상업,장기,할인
CUST000063,2023-02-05,경기,산업,2년,할인
CUST000064,2023-01-24,강원,주택,장기,기본
CUST000065,2023-12-05,경기,상업,1년,프리미엄
CUST000066,2023-04-27,강원,상업,장기,할인
CUST000067,2023-05-29,대전,공공,장기,할인
CUST000068,2023-02-10,울산,주택,2년,할인
CUST000069,2023-04-30,광주,공공,장기,기본
CUST000070,2023-02-21,세종,상업,2년,프리미엄
CUST000071,2023-07-14,울산,주택,2년,기본
CUST000072,2023-05-23,대구,상업,1년,할인
CUST000073,2023-08-21,경기,주택,1년,프리미엄
CUST000074,2023-11-22,대구,상업,1년,기본
CUST000075,2023-07-06,울산,산업,1년,할인
CUST000076,2023-03-25,강원,산업,2년,할인
CUST000077,2023-07-09,세종,공공,장기,기본
CUST000078,2023-07-01,세종,산업,1년,할인
CUST000079,2023-04-18,서울,상업,1년,할인
CUST000080,2023-12-10,세종,상업,1년,프리미엄
CUST000081,2023-05-17,광주,산업,장기,할인
CUST000082,2023-12-26,세종,공공,1년,기본
CUST000083,2023-12-16,울산,산업,장기,프리미엄
CUST000084,2023-11-28,서울,주택,2년,기본
CUST000085,2023-02-06,울산,주택,2년,할인
CUST000086,2023-11-08,울산,주택,2년,프리미엄
CUST000087,2023-11-22,인천,산업,장기,프리미엄
CUST000088,2023-03-29,서울,산업,1년,프리미엄
CUST000089,2023-10-01,울산,산업,1년,프리미엄
CUST000090,2023-05-06,인천,주택,1년,기본
CUST000091,2023-03-25,인천,공공,1년,할인
CUST000092,2023-08-25,서울,상업,1년,할인
CUST000093,2023-07-14,대구,산업,장기,프리미엄
CUST000094,2023-05-19,강원,공공,2년,할인
CUST000095,2023-11-24,광주,상업,1년,기본
CUST000096,2023-12-19,강원,상업,2년,할인
CUST000097,2023-10-13,세종,상업,장기,기본
CUST000098,2023-04-23,광주,공공,장기,기본
CUST000099,2023-12-17,세종,공공,1년,할인
CUST000100,2023-06-16,울산,주택,장기,기본
CUST000101,2023-01-29,경기,공공,2년,기본
CUST000102,2023-04-28,서울,공공,1년,기본
CUST000103,2023-01-17,광주,공공,1년,기본
CUST000104,2023-06-11,광주,상업,2년,프리미엄
CUST000105,2023-07-25,울산,산업,1년,할인
CUST000106,2023-05-18,대구,주택,1년,프리미엄
CUST000107,2023-02-03,인천,산업,2년,기본
CUST000108,2023-04-19,울산,산업,1년,할인
CUST000109,2023-10-18,부산,공공,1년,기본
CUST000110,2023-06-11,인천,주택,2년,할인
CUST000111,2023-04-19,서울,산업,장기,프리미엄
CUST000112,2023-12-02,인천,산업,2년,할인
CUST000113,2023-09-13,대구,주택,1년,기본
CUST000114,2023-07-22,인천,공공,2년,할인
CUST000115,2023-11-26,서울,산업,1년,할인
CUST000116,2023-08-23,대구,상업,1년,프리미엄
CUST000117,2023-03-15,강원,산업,2년,기본
CUST000118,2023-05-16,광주,상업,1년,할인
CUST000119,2023-03-13,광주,공공,장기,프리미엄
CUST000120,2023-05-07,세종,산업,1년,할인
CUST000121,2023-10-15,강원,주택,2년,기본
CUST000122,2023-10-03,강원,주택,장기,할인
CUST000123,2023-05-15,인천,산업,장기,할인
CUST000124,2023-10-27,광주,공공,1년,할인
CUST000125,2023-08-08,서울,공공,2년,할인
CUST000126,2023-10-26,대전,주택,1년,기본
CUST000127,2023-07-24,대전,산업,1년,프리미엄
CUST000128,2023-07-05,대구,공공,2년,프리미엄
CUST000129,2023-04-23,광주,주택,2년,할인
CUST000130,2023-03-12,광주,상업,1년,기본
CUST000131,2023-09-18,대전,산업,장기,기본
CUST000132,2023-09-10,광주,상업,1년,기본
CUST000133,2023-02-16,인천,상업,장기,기본
CUST000134,2023-01-25,부산,공공,1년,기본
CUST000135,2023-02-26,경기,공공,2년,기본
CUST000136,2023-03-20,강원,공공,장기,할인
CUST000137,2023-11-18,세종,산업,2년,프리미엄
CUST000138,2023-03-23,대구,상업,2년,프리미엄
CUST000139,2023-12-15,부산,산업,2년,할인
CUST000140,2023-08-05,대전,공공,2년,프리미엄
CUST000141,2023-11-02,강원,상업,2년,기본
CUST000142,2023-02-02,광주,산업,1년,기본
CUST000143,2023-07-17,세종,산업,장기,프리미엄
CUST000144,2023-07-15,광주,주택,1년,기본
CUST000145,2023-11-02,서울,산업,1년,기본
CUST000146,2023-08-28,서울,공공,1년,프리미엄
CUST000147,2023-09-28,세종,산업,2년,할인
CUST000148,2023-05-09,세종,상업,1년,프리미엄
CUST000149,2023-10-11,대전,산업,장기,프리미엄
CUST000150,2023-01-06,세종,주택,1년,프리미엄
CUST000151,2023-12-15,인천,상업,2년,프리미엄
CUST000152,2023-02-28,광주,상업,장기,할인
CUST000153,2023-12-16,부산,주택,장기,할인
CUST000154,2023-10-02,울산,공공,장기,기본
CUST000155,2023-05-17,세종,상업,장기,기본
CUST000156,2023-11-25,대구,공공,1년,프리미엄
CUST000157,2023-06-24,서울,상업,2년,기본
CUST000158,2023-02-27,인천,상업,장기,할인
CUST000159,2023-05-31,강원,공공,장기,기본
CUST000160,2023-08-11,울산,상업,2년,기본
CUST000161,2023-03-22,부산,공공,1년,기본
CUST000162,2023-08-21,울산,주택,장기,프리미엄
CUST000163,2023-01-02,세종,공공,1년,기본
CUST000164,2023-05-15,대전,주택,1년,할인
CUST000165,2023-09-14,서울,상업,1년,할인
CUST000166,2023-04-02,서울,공공,1년,할인
CUST000167,2023-09-17,강원,상업,장기,할인
CUST000168,2023-02-24,대전,공공,장기,기본
CUST000169,2023-11-17,광주,주택,1년,프리미엄
CUST000170,2023-06-02,경기,주택,1년,할인
CUST000171,2023-11-24,인천,공공,2년,할인
CUST000172,2023-09-17,서울,주택,2년,프리미엄
CUST000173,2023-11-08,대구,상업,2년,프리미엄
CUST000174,2023-04-12,서울,상업,장기,할인
CUST000175,2023-03-20,울산,산업,2년,할인
CUST000176,2023-07-11,서울,주택,장기,프리미엄
CUST000177,2023-03-24,서울,상업,장기,할인
CUST000178,2023-10-04,경기,공공,장기,할인
CUST000179,2023-09-29,경기,주택,장기,기본
CUST000180,2023-01-01,부산,상업,2년,프리미엄
CUST000181,2023-11-03,광주,주택,1년,기본
CUST000182,2023-06-15,대구,공공,1년,기본
CUST000183,2023-09-08,서울,상업,1년,프리미엄
CUST000184,2023-01-10,서울,산업,2년,기본
CUST000185,2023-02-27,인천,산업,1년,할인
CUST000186,2023-07-05,경기,주택,2년,기본
CUST000187,2023-06-07,대구,공공,2년,프리미엄
CUST000188,2023-05-03,강원,상업,2년,할인
CUST000189,2023-01-30,부산,공공,1년,할인
CUST000190,2023-05-04,광주,상업,1년,할인
CUST000191,2023-10-18,대전,주택,1년,할인
CUST000192,2023-02-10,광주,상업,장기,기본
CUST000193,2023-02-13,울산,공공,2년,기본
CUST000194,2023-09-06,서울,공공,장기,할인
CUST000195,2023-02-05,부산,주택,2년,프리미엄
CUST000196,2023-09-30,울산,공공,1년,할인
CUST000197,2023-03-06,대구,상업,2년,기본
CUST000198,2023-03-07,대전,주택,2년,할인
CUST000199,2023-12-04,경기,상업,장기,기본
CUST000200,2023-09-01,부산,공공,2년,할인
CUST000201,2023-10-09,부산,주택,1년,프리미엄
CUST000202,2023-03-26,서울,상업,2년,할인
CUST000203,2023-05-16,세종,공공,2년,프리미엄
CUST000204,2023-09-28,부산,공공,2년,프리미엄
CUST000205,2023-11-07,인천,산업,장기,할인
CUST000206,2023-08-05,대전,공공,2년,프리미엄
CUST000207,2023-04-19,대전,상업,2년,프리미엄
CUST000208,2023-10-04,인천,주택,장기,기본
CUST000209,2023-12-20,강원,산업,장기,기본
CUST000210,2023-04-13,인천,공공,장기,프리미엄
CUST000211,2024-01-01,인천,공공,장기,할인
CUST000212,2023-06-09,대전,공공,1년,프리미엄
CUST000213,2023-07-24,광주,상업,1년,할인
CUST000214,2023-12-10,대전,산업,2년,기본
CUST000215,2023-11-29,세종,상업,1년,할인
CUST000216,2023-07-11,서울,산업,2년,프리미엄
CUST000217,2023-08-13,울산,주택,1년,프리미엄
CUST000218,2023-09-22,광주,상업,장기,프리미엄
CUST000219,2023-08-20,경기,상업,장기,프리미엄
CUST000220,2023-03-03,울산,주택,1년,프리미엄
CUST000221,2023-05-07,서울,산업,1년,할인
CUST000222,2023-04-26,세종,공공,2년,프리미엄
CUST000223,2023-02-02,세종,주택,2년,기본
CUST000224,2023-06-23,경기,공공,2년,프리미엄
CUST000225,2023-01-11,광주,공공,장기,할인
CUST000226,2023-10-29,강원,주택,장기,프리미엄
CUST000227,2023-10-11,인천,산업,장기,프리미엄
CUST000228,2023-04-28,광주,공공,장기,할인
CUST000229,2023-10-29,강원,주택,2년,프리미엄
CUST000230,2023-04-23,세종,상업,장기,할인
CUST000231,2023-01-04,대전,상업,장기,프리미엄
CUST000232,2023-02-06,서울,상업,장기,기본
CUST000233,2023-12-29,경기,주택,장기,프리미엄
CUST000234,2023-11-20,서울,상업,1년,할인
CUST000235,2023-01-31,대구,공공,2년,기본
CUST000236,2023-04-28,대구,상업,2년,할인
CUST000237,2023-02-04,광주,상업,장기,프리미엄
CUST000238,2023-01-17,세종,공공,1년,기본
CUST000239,2023-06-19,세종,상업,2년,할인
CUST000240,2023-02-06,인천,공공,2년,기본
CUST000241,2023-09-21,인천,상업,장기,기본
CUST000242,2023-05-02,인천,공공,장기,할인
CUST000243,2023-05-23,대전,상업,2년,기본
CUST000244,2023-12-09,울산,공공,2년,할인
CUST000245,2023-09-06,부산,주택,1년,기본
CUST000246,2023-04-20,울산,공공,2년,기본
CUST000247,2023-10-04,서울,상업,2년,기본
CUST000248,2023-03-09,울산,상업,장기,프리미엄
CUST000249,2023-10-20,대전,산업,2년,프리미엄
CUST000250,2023-10-23,서울,공공,장기,할인
CUST000251,2023-08-31,울산,주택,2년,기본
CUST000252,2023-05-05,대전,공공,2년,할인
CUST000253,2023-08-31,부산,공공,2년,프리미엄
CUST000254,2023-07-28,울산,주택,1년,프리미엄
CUST000255,2023-04-08,대전,공공,장기,프리미엄
CUST000256,2023-02-18,인천,주택,1년,프리미엄
CUST000257,2023-02-19,세종,주택,2년,할인
CUST000258,2023-12-04,인천,공공,1년,기본
CUST000259,2023-08-09,세종,공공,장기,할인
CUST000260,2023-07-01,경기,상업,2년,기본
CUST000261,2023-08-05,경기,상업,1년,프리미엄
CUST000262,2023-07-30,경기,산업,1년,기본
CUST000263,2023-08-28,부산,산업,장기,프리미엄
CUST000264,2023-01-28,인천,공공,1년,할인
CUST000265,2023-12-11,세종,주택,장기,기본
CUST000266,2023-12-01,대전,산업,2년,할인
CUST000267,2023-11-27,서울,공공,2년,프리미엄
CUST000268,2023-02-20,대전,산업,1년,할인
CUST000269,2023-02-01,서울,주택,2년,프리미엄
CUST000270,2023-07-26,대구,공공,2년,프리미엄
CUST000271,2023-06-23,대전,주택,1년,프리미엄
CUST000272,2023-02-25,울산,공공,2년,할인
CUST000273,2023-05-08,울산,산업,1년,할인
CUST000274,2023-04-09,광주,상업,장기,기본
CUST000275,2023-04-08,인천,산업,장기,기본
CUST000276,2023-10-02,서울,산업,장기,할인
CUST000277,2023-08-18,서울,상업,1년,할인
CUST000278,2023-03-13,인천,상업,1년,할인
CUST000279,2023-08-05,부산,공공,2년,할인
CUST000280,2023-04-04,광주,공공,2년,프리미엄
CUST000281,2023-05-23,부산,주택,2년,프리미엄
CUST000282,2023-08-25,부산,주택,2년,프리미엄
CUST000283,2023-05-08,부산,산업,2년,할인
CUST000284,2023-02-08,인천,상업,1년,프리미엄
CUST000285,2023-08-15,부산,주택,1년,프리미엄
CUST000286,2023-10-09,울산,산업,장기,기본
CUST000287,2023-02-20,경기,상업,장기,기본
CUST000288,2023-01-26,대구,공공,장기,프리미엄
CUST000289,2023-11-30,서울,산업,장기,프리미엄
CUST000290,2023-10-04,서울,공공,1년,프리미엄
CUST000291,2023-01-08,대구,주택,1년,할인
CUST000292,2023-02-17,인천,주택,1년,기본
CUST000293,2023-05-02,대전,상업,2년,기본
CUST000294,2023-03-27,인천,산업,2년,기본
CUST000295,2023-07-28,서울,공공,장기,프리미엄
CUST000296,2023-09-06,서울,상업,2년,할인
CUST000297,2023-09-04,대구,주택,1년,기본
CUST000298,2023-04-20,부산,주택,장기,기본
CUST000299,2023-07-25,인천,산업,장기,할인
CUST000300,2023-01-31,세종,공공,2년,프리미엄
CUST000301,2023-03-26,대구,산업,장기,프리미엄
CUST000302,2023-07-14,울산,공공,2년,기본
CUST000303,2023-01-02,서울,공공,2년,기본
CUST000304,2023-07-19,대구,산업,장기,할인
CUST000305,2023-05-16,인천,상업,2년,기본
CUST000306,2023-08-21,서울,산업,2년,할인
CUST000307,2023-05-27,대전,산업,2년,기본
CUST000308,2023-08-05,대구,주택,2년,기본
CUST000309,2023-12-23,광주,주택,장기,기본
CUST000310,2023-10-12,서울,산업,1년,프리미엄
CUST000311,2023-12-05,인천,산업,1년,할인
CUST000312,2023-09-07,경기,주택,2년,할인
CUST000313,2023-03-21,세종,공공,2년,프리미엄
CUST000314,2023-04-08,강원,산업,2년,프리미엄
CUST000315,2023-06-01,부산,상업,1년,프리미엄
CUST000316,2023-04-22,강원,상업,2년,할인
CUST000317,2023-01-30,인천,상업,장기,기본
CUST000318,2023-10-24,울산,산업,장기,프리미엄
CUST000319,2023-10-05,울산,공공,장기,프리미엄
CUST000320,2023-02-01,경기,공공,1년,프리미엄
CUST000321,2023-06-10,부산,주택,2년,기본
CUST000322,2023-01-30,광주,산업,2년,기본
CUST000323,2023-01-26,경기,공공,2년,프리미엄
CUST000324,2023-10-27,강원,산업,1년,기본
CUST000325,2023-09-02,경기,주택,1년,프리미엄
CUST000326,2023-09-15,강원,주택,1년,기본
CUST000327,2023-09-29,서울,주택,1년,할인
CUST000328,2023-03-22,울산,상업,장기,할인
CUST000329,2023-01-30,서울,산업,1년,기본
CUST000330,2023-09-18,세종,주택,1년,할인
CUST000331,2023-02-11,부산,산업,1년,할인
CUST000332,2023-04-06,광주,상업,2년,할인
CUST000333,2023-02-05,강원,상업,2년,프리미엄
CUST000334,2023-11-01,광주,주택,2년,기본
CUST000335,2023-02-04,강원,주택,장기,기본
CUST000336,2023-12-12,인천,공공,장기,기본
CUST000337,2023-05-01,경기,산업,1년,할인
CUST000338,2023-07-26,세종,주택,2년,프리미엄
CUST000339,2023-03-03,울산,공공,장기,기본
CUST000340,2023-10-19,강원,산업,2년,할인
CUST000341,2023-05-07,광주,주택,장기,프리미엄
CUST000342,2023-10-24,세종,공공,장기,프리미엄
CUST000343,2023-11-01,대전,공공,1년,기본
CUST000344,2023-01-21,대전,산업,1년,기본
CUST000345,2023-11-14,서울,공공,장기,할인
CUST000346,2023-02-11,울산,산업,1년,기본
CUST000347,2023-08-03,인천,산업,장기,할인
CUST000348,2023-12-03,광주,산업,장기,프리미엄
CUST000349,2023-10-26,경기,상업,2년,프리미엄
CUST000350,2023-10-17,경기,공공,1년,프리미엄
CUST000351,2023-09-25,광주,산업,1년,프리미엄
CUST000352,2023-06-11,부산,주택,1년,기본
CUST000353,2023-05-14,인천,상업,2년,기본
CUST000354,2023-04-15,세종,상업,2년,할인
CUST000355,2023-12-09,강원,공공,2년,할인
CUST000356,2023-06-10,부산,산업,1년,할인
CUST000357,2023-05-03,강원,공공,1년,할인
CUST000358,2023-05-16,강원,상업,1년,할인
CUST000359,2023-07-22,부산,산업,2년,프리미엄
CUST000360,2023-03-09,서울,주택,2년,프리미엄
CUST000361,2023-12-10,대전,산업,장기,프리미엄
CUST000362,2023-11-27,강원,상업,2년,할인
CUST000363,2023-06-03,부산,주택,장기,프리미엄
CUST000364,2023-08-23,부산,산업,1년,프리미엄
CUST000365,2023-06-11,대구,주택,2년,프리미엄
CUST000366,2023-02-07,서울,주택,1년,프리미엄
CUST000367,2023-01-05,울산,상업,1년,기본
CUST000368,2023-08-23,대구,주택,1년,할인
CUST000369,2023-11-15,대구,공공,1년,할인
CUST000370,2023-10-16,광주,상업,2년,기본
CUST000371,2023-02-21,대전,공공,1년,프리미엄
CUST000372,2023-02-07,부산,주택,장기,프리미엄
CUST000373,2023-10-03,대전,공공,2년,프리미엄
CUST000374,2023-04-20,인천,산업,1년,할인
CUST000375,2023-09-17,광주,주택,2년,할인
CUST000376,2023-05-16,울산,산업,장기,할인
CUST000377,2023-03-09,대전,공공,1년,할인
CUST000378,2023-06-28,경기,산업,장기,할인
CUST000379,2023-02-05,강원,주택,1년,기본
CUST000380,2023-05-06,인천,산업,장기,할인
CUST000381,2023-07-09,서울,공공,1년,프리미엄
CUST000382,2023-05-26,울산,공공,2년,할인
CUST000383,2023-03-22,인천,공공,1년,기본
CUST000384,2023-08-13,강원,주택,2년,프리미엄
CUST000385,2023-10-06,광주,공공,1년,기본
CUST000386,2023-12-27,강원,주택,1년,프리미엄
CUST000387,2023-06-04,대구,산업,장기,할인
CUST000388,2023-11-10,강원,공공,장기,기본
CUST000389,2023-12-01,대구,산업,장기,프리미엄
CUST000390,2023-09-28,광주,상업,1년,할인
CUST000391,2023-01-05,세종,산업,1년,프리미엄
CUST000392,2023-12-08,대구,상업,1년,기본
CUST000393,2023-10-11,서울,산업,2년,기본
CUST000394,2023-06-03,강원,주택,2년,기본
CUST000395,2023-12-06,강원,산업,1년,기본
CUST000396,2023-02-23,서울,주택,장기,할인
CUST000397,2023-03-10,경기,주택,장기,프리미엄
CUST000398,2023-05-16,부산,공공,장기,할인
CUST000399,2023-03-01,세종,주택,1년,기본
CUST000400,2023-02-24,울산,상업,장기,프리미엄
CUST000401,2023-10-11,대구,공공,1년,기본
CUST000402,2023-03-21,서울,공공,2년,할인
CUST000403,2023-05-20,광주,산업,장기,할인
CUST000404,2023-05-25,대구,주택,2년,할인
CUST000405,2023-11-06,부산,주택,장기,프리미엄
CUST000406,2023-04-18,광주,상업,1년,프리미엄
CUST000407,2023-06-25,인천,산업,1년,기본
CUST000408,2023-04-15,강원,산업,1년,프리미엄
CUST000409,2023-12-18,인천,공공,1년,프리미엄
CUST000410,2023-11-21,대구,공공,장기,할인
CUST000411,2023-05-16,부산,공공,2년,기본
CUST000412,2023-09-16,세종,상업,1년,할인
CUST000413,2023-09-08,대구,상업,장기,기본
CUST000414,2023-05-09,서울,공공,2년,기본
CUST000415,2023-01-27,대전,산업,1년,프리미엄
CUST000416,2023-02-17,대구,상업,2년,할인
CUST000417,2023-11-21,강원,산업,1년,프리미엄
CUST000418,2023-08-05,강원,산업,2년,프리미엄
CUST000419,2023-05-22,대구,주택,2년,프리미엄
CUST000420,2023-01-23,광주,공공,1년,기본
CUST000421,2023-01-02,대전,주택,장기,할인
CUST000422,2023-06-20,서울,공공,2년,할인
CUST000423,2023-03-08,대구,공공,1년,프리미엄
CUST000424,2023-11-23,광주,산업,2년,기본
CUST000425,2023-05-15,강원,공공,2년,할인
CUST000426,2023-03-24,강원,산업,장기,할인
CUST000427,2023-08-15,부산,산업,2년,프리미엄
CUST000428,2023-10-10,대구,공공,2년,기본
CUST000429,2023-12-28,대전,산업,1년,프리미엄
CUST000430,2023-08-07,경기,산업,1년,할인
CUST000431,2023-10-15,대전,산업,장기,기본
CUST000432,2023-01-05,강원,상업,2년,프리미엄
CUST000433,2023-02-27,강원,산업,2년,할인
CUST000434,2023-02-08,인천,상업,2년,프리미엄
CUST000435,2023-12-20,강원,상업,장기,프리미엄
CUST000436,2023-03-18,서울,산업,2년,프리미엄
CUST000437,2023-10-07,울산,산업,1년,기본
CUST000438,2023-01-19,대구,상업,장기,할인
CUST000439,2023-07-09,대전,상업,1년,할인
CUST000440,2023-10-26,울산,산업,1년,할인
CUST000441,2023-10-10,광주,산업,장기,할인
CUST000442,2023-03-17,경기,공공,1년,기본
CUST000443,2023-08-09,서울,상업,2년,프리미엄
CUST000444,2023-03-07,대전,상업,장기,할인
CUST000445,2023-01-22,울산,공공,1년,기본
CUST000446,2023-06-07,경기,상업,2년,프리미엄
CUST000447,2023-07-06,인천,주택,2년,기본
CUST000448,2023-01-21,서울,상업,1년,기본
CUST000449,2023-07-03,서울,공공,2년,할인
CUST000450,2023-04-18,인천,주택,장기,할인
CUST000451,2023-12-16,대구,산업,1년,프리미엄
CUST000452,2023-05-08,인천,공공,2년,프리미엄
CUST000453,2023-12-08,서울,공공,2년,할인
CUST000454,2023-02-22,서울,산업,1년,기본
CUST000455,2023-07-01,울산,공공,1년,할인
CUST000456,2023-10-14,강원,상업,1년,프리미엄
CUST000457,2023-07-28,경기,산업,1년,기본
CUST000458,2023-11-14,인천,공공,장기,기본
CUST000459,2023-03-21,경기,산업,1년,기본
CUST000460,2023-05-02,인천,산업,장기,할인
CUST000461,2023-03-25,광주,산업,장기,할인
CUST000462,2023-04-01,서울,주택,1년,프리미엄
CUST000463,2023-07-31,강원,공공,장기,기본
CUST000464,2023-01-13,울산,주택,1년,기본
CUST000465,2023-04-02,강원,공공,1년,할인
CUST000466,2023-06-20,강원,상업,2년,프리미엄
CUST000467,2023-07-30,강원,상업,1년,프리미엄
CUST000468,2023-12-09,경기,상업,2년,기본
CUST000469,2023-05-08,인천,공공,장기,할인
CUST000470,2023-05-17,세종,산업,2년,기본
CUST000471,2023-03-23,광주,산업,장기,할인
CUST000472,2023-12-26,대전,주택,1년,프리미엄
CUST000473,2023-02-25,강원,주택,장기,기본
CUST000474,2023-07-15,대구,상업,장기,기본
CUST000475,2023-01-20,경기,주택,1년,기본
CUST000476,2023-08-29,울산,공공,장기,프리미엄
CUST000477,2023-04-24,대전,공공,1년,기본
CUST000478,2023-04-13,세종,주택,2년,프리미엄
CUST000479,2023-08-24,대구,주택,1년,할인
CUST000480,2023-06-29,세종,주택,1년,프리미엄
CUST000481,2023-06-06,대전,주택,장기,할인
CUST000482,2023-04-27,강원,상업,2년,프리미엄
CUST000483,2023-04-25,대구,상업,1년,프리미엄
CUST000484,2023-01-13,세종,주택,2년,기본
CUST000485,2023-12-04,울산,공공,2년,프리미엄
CUST000486,2023-04-09,인천,상업,장기,기본
CUST000487,2023-07-24,서울,공공,1년,할인
CUST000488,2023-06-18,인천,산업,장기,할인
CUST000489,2023-05-23,대전,공공,1년,기본
CUST000490,2023-02-05,경기,주택,2년,할인
CUST000491,2023-05-23,서울,산업,1년,프리미엄
CUST000492,2023-06-29,광주,상업,1년,기본
CUST000493,2023-11-25,울산,상업,2년,기본
CUST000494,2023-09-18,광주,산업,2년,기본
CUST000495,2023-07-24,대구,공공,1년,할인
CUST000496,2023-12-14,서울,상업,장기,할인
CUST000497,2023-10-02,광주,주택,1년,프리미엄
CUST000498,2023-06-19,광주,산업,2년,프리미엄
CUST000499,2023-01-15,세종,주택,장기,기본
CUST000500,2023-03-01,인천,산업,2년,프리미엄
CUST000501,2023-05-14,세종,상업,2년,할인
CUST000502,2023-04-02,서울,공공,장기,프리미엄
CUST000503,2023-10-25,서울,산업,2년,할인
CUST000504,2023-05-16,대전,산업,2년,프리미엄
CUST000505,2023-01-20,세종,주택,2년,할인
CUST000506,2023-02-25,부산,상업,2년,할인
CUST000507,2023-11-02,인천,주택,2년,프리미엄
CUST000508,2023-08-11,서울,상업,2년,프리미엄
CUST000509,2023-06-26,대전,주택,2년,할인
CUST000510,2023-06-10,세종,산업,2년,기본
CUST000511,2023-08-12,인천,주택,2년,프리미엄
CUST000512,2023-11-07,세종,공공,1년,할인
CUST000513,2023-09-19,광주,상업,1년,프리미엄
CUST000514,2023-03-01,대전,상업,2년,프리미엄
CUST000515,2023-07-17,인천,산업,1년,프리미엄
CUST000516,2023-10-23,강원,상업,장기,프리미엄
CUST000517,2023-04-08,대구,공공,1년,프리미엄
CUST000518,2023-05-11,대구,주택,2년,기본
CUST000519,2023-01-23,인천,산업,2년,기본
CUST000520,2023-12-29,세종,공공,1년,기본
CUST000521,2023-08-12,대전,상업,2년,할인
CUST000522,2023-01-01,대구,상업,장기,기본
CUST000523,2023-09-24,대전,공공,장기,기본
CUST000524,2023-10-03,대구,주택,2년,할인
CUST000525,2023-12-18,광주,주택,장기,기본
CUST000526,2023-12-10,세종,산업,장기,프리미엄
CUST000527,2023-04-11,광주,상업,1년,기본
CUST000528,2023-07-06,대구,공공,장기,기본
CUST000529,2023-08-09,강원,주택,1년,기본
CUST000530,2023-02-05,강원,산업,2년,프리미엄
CUST000531,2023-12-07,광주,상업,1년,프리미엄
CUST000532,2023-06-19,강원,상업,2년,프리미엄
CUST000533,2023-11-16,대구,산업,2년,프리미엄
CUST000534,2023-06-10,인천,산업,2년,할인
CUST000535,2023-12-06,광주,주택,2년,프리미엄
CUST000536,2023-03-05,경기,공공,2년,프리미엄
